Comment_by_viewer,Date_comment_posted
Voting for Trump button ---------》,2024-08-28T10:58:42.000Z
"No policies. No interviews. No debates. Also, nobody voted for her.🤷‍♂️",2024-08-25T00:32:41.000Z
"Except we didn’t nominate you, Joe appointed you",2024-08-26T16:39:07.000Z
We didn’t choose you. You were appointed,2024-08-24T21:23:09.000Z
It's so seriously mind blowing how ppl fall for this nonsense.,2024-08-23T20:47:14.000Z
We didn’t vote for you! Your were forced into to be the candidate. You are incompetent for this job!,2024-08-27T16:12:36.000Z
We really don’t need another 4 years of this mess.,2024-08-23T22:35:13.000Z
Vote for Trump🇺🇸 to save America,2024-08-24T13:04:12.000Z
Trump was ELECTED by the people. Kamal was SELECTED by the democrat bureaucracy.,2024-08-26T19:45:08.000Z
Genocide is NOT self defense,2024-08-30T20:20:05.000Z
"Biden is in the basement, Kamala is cackling in her chicken coup and Walz is filling the Tampon machines in the boys bathroom.",2024-08-24T01:36:15.000Z
Make America’s children healthy again! Make America affordable again! Trump 2024 ❤️🤍💙🇺🇸,2024-08-29T02:01:28.000Z
How many Palestinian kids did you kill today?🇵🇸✊,2024-08-30T21:36:33.000Z
Trump is the only one with a reasonable mind out there vote for him 🇺🇸,2024-08-31T22:17:56.000Z
"KAMALA HAS NOT DONE ANYTHING IN THE 3 1/2 YEARS SHES BEEN VICE PRESIDENT! SO WHY DO YOU THINK SHES GOING TO START NOW? WAKE UP, PEOPLE. ITS TIME US AMERICANS JOIN TOGETHER AND TAKE OUR COUNTRY BACK!",2024-08-26T17:45:17.000Z
