Title,Edit_Date,Origal_Date,Link,Content
"Team Trump wanted Biden to stay in the race. Then in an instant, everything changed.",Not Avaiable For MSNBC,"July 22, 2024, 1:20 PM PDT",https://www.msnbc.com/rachel-maddow-show/maddowblog/democrats-harris-biden-ticket-trump-rcna163078,"This is an adapted excerpt from a July 21 special episode of “The Rachel Maddow Show.”  Three and a half years into his presidency, Joe Biden made American history with an act of profound political and personal sacrifice: stepping down from his re-election bid in favor of his vice president, Kamala Harris. In the instant Biden announced that news, at 1:46 p.m. on a Sunday, everything changed. The Democratic Party instantly ended its internal war — an emotional, intense, harrowing fight that has torn the party apart for the past three and a half weeks. That is over. The expectation among Democrats, an expectation voiced more and more openly in recent days, was that the party was in for a historic wipeout in November — with not just the White House in danger, but the House and the Senate in danger as well. That expectation has also evaporated in an instant.  Shortly after issuing his statement, Biden voiced his strong and unequivocal endorsement of Harris. Harris confirmed immediately that she would indeed run and pledged to fight — to win.  When it came to commenting on the very difficult knockdown, drag-out fight within the Democratic Party, Republicans and Donald Trump had been uncharacteristically disciplined. They were being very reticent and very disciplined about not talking about the concerns over Biden showing his age.  That’s because they were crossing their fingers and hoping Biden would stay in the race, expecting he would stay in. They were looking at the polls and bragging about their surely, absolutely guaranteed victory. Last week, Trump’s pollster said there were between 20 and 25 different paths to victory in the electoral map. Biden, perhaps cannily, waited until the supremely self-confident Republican side locked in their ticket. He waited to announce his plans until Trump picked a running mate whom most Americans do not know, and who — they are discovering — is deeply committed to a nationwide ban on abortion. Trump’s remarkable recent run of political good luck has finally come to an end. He is now the old man in the presidential race. A 78-year-old who is only occasionally coherent, with a record as president that is viewed by historians as the worst in the history of the country and a tenure that ended in violence. A man who refuses to promise there won’t be more violence from his supporters in the future.  Trump drags along with him not just the legacy of what happened the last time he was in office, but also the threat of a national abortion ban and a possible prison sentence — that all heads with him to the polls. We now know Trump’s opponent will not be a man older than him. His opponent will likely be a 59-year-old former prosecutor, attorney general, U.S. senator, and vice president to Joe Biden — who cemented his legacy with a decision that will go down in history as one of the most selfless patriotic sacrifices of any sitting president ever.  At 1:46 p.m. on a Sunday, Biden changed everything about this race. In an instant, the old era is over and the new era is here. It’s go time. Join Rachel Maddow and many others on Saturday, Sept. 7 in Brooklyn, New York, for “MSNBC Live: Democracy 2024,” a first-of-its kind live event. You’ll get to see your favorite hosts in person, and hear thought-provoking conversations about what matters most in the final weeks of an unprecedented election cycle. Buy tickets here."
Biden will be a one-term president. That's not necessarily a bad thing.,Not Avaiable For MSNBC,"July 22, 2024, 1:17 PM PDT",https://www.msnbc.com/opinion/msnbc-opinion/biden-joins-one-term-presidents-club-legacy-historical-comparison-rcna162973,"America tends to pity the one-term president. Whether denied a second term by the voters or by fate, the commanders in chief who served only a single stint in office have a certain pathos about them. Consider just some recent one-termers. Gerald Ford? Accidental president remembered for falling down the steps of Air Force One. Jimmy Carter? Used as an epithet for a failed presidency by Republicans for decades. George H.W. Bush? Outshone by his own son’s two terms. It is this sad fate that both Donald Trump and Joe Biden sought to avoid as they ran for a second term this November. But now that Biden has dropped out, he has definitively joined the club. Before he ran in 2020, Biden reportedly considered pledging to serve only a single term before deciding instead on a strategy of ""quietly indicating"" that he wouldn't run again. (He chose a funny way of going about that.) Republican nominee John McCain also mulled a similar move in 2008. Both dropped the idea in the end because they feared it would reduce their power in the White House, but maybe also because the lure of joining the pantheon of two-term presidents is too strong. The two-termers, after all, get the glory. Mount Rushmore? Two-termers. Coins and paper bills? Two-termers. Prestige Hollywood biopics? Two-termers. One-term presidents are not remembered as fondly. When the American Political Science Association released its regular survey ranking the presidents earlier this year, the top 10 had only a single one-termer in it (JFK, who continues to be remembered more for his potential than his achievements); the bottom 10 were all one-termers (including Trump, for now). Looking at the bottom of the list starts to feel like the old ""Simpsons"" bit where the kids dress up as the ""adequate, forgettable, occasionally regrettable caretaker presidents,"" singing: One-termers, all of them. Some of that is raw skill. After all, as Trump reminded us in 2016, anyone can win a presidential race once if they get lucky. But winning twice shows that it wasn't a fluke. A second term is also a good proxy for whether you lived up to your promises since voters have a chance to weigh in on how you did with your first four years on the job. But if becoming a certified member of the One-Term Presidents club is a sad moment for Biden, there is still hope for him. Some one-termers have been rehabilitated by history, especially when they have shown skill in international diplomacy, racked up legislative achievements in a short time or done what was right for the country on a major issue. The exemplar here is James K. Polk, who, admittedly, is not well known today. But as fans of the band They Might Be Giants know, he fulfilled every one of his campaign goals in just four years, including a pledge to only serve one term. Another model is the elder Bush, whose judicious handling of the end of the Cold War and decision to end the first Gulf War without invading Iraq lost him political points at the time but came to look better in retrospect. The truth is that it's still too early to tell, as historians will largely judge Biden based on what happens next. He may be remembered for his handling of the coronavirus pandemic, massive spending to rebuild the nation's infrastructure and fight climate change, and appointing the first Black woman to the Supreme Court. Or his presidency may be seen as a brief interregnum between Trump's two terms. Whatever happens, Biden's decision to voluntarily step down and not seek the nomination that was within his grasp will loom large in the analysis. If Vice President Kamala Harris wins the nomination and goes on to win the general election, Biden may be seen as a statesman who understood the stakes and let go of power for the good of the country, a marked contrast with Trump, who still can't admit he lost in 2020. He will have passed the test of doing the right thing on a big issue. But if she falters and either loses the nomination or the general election, Biden will be remembered more for having held on as long as he did, fatally damaging his party's chances. Biden's legacy, then, may come down not to what he did on the job but how and when he decided to quit. He may forever be a one-term president, but, unlike most of the others, it will have been his choice, and he can take some solace in that."
Harris praises Biden's 'deep love' of country in first remarks since he endorsed her,Not Avaiable For MSNBC,,https://www.msnbc.com/the-reidout/reidout-blog/vp-harris-first-remarks-short-rcna163081,     
A potential Trump v. Harris race puts two competing ideas of Christianity on display,Not Avaiable For MSNBC,"July 22, 2024, 10:54 AM PDT",https://www.msnbc.com/opinion/msnbc-opinion/kamala-harris-christian-faith-religious-freedom-rcna163011,"Following President Joe Biden’s announcement that he will no longer seek re-election in November, the 2024 presidential race juxtaposes two very different versions of Christianity: Donald Trump brandishes a performative rendition of the Christian faith as a political prop to advance authoritarian theocracy, while Vice President Kamala Harris, whom Biden has endorsed to take his place as the Democratic nominee, practices the Christian faith she was raised in, while embracing her interfaith family.  In doing so, Harris embodies our nation’s founding ideal of religious freedom and models a Christian commitment to religious pluralism.  Although he has reportedly mocked his conservative Christian leaders behind their backs, was not active in church before running for president and says he’s never asked God for forgiveness, Trump has manufactured mass far-right devotion among his base through moves like overturning Roe v. Wade. Surviving an assassination attempt will only heighten MAGA zealotry, as we saw with the surge of Christian nationalist narrative claiming Trump survived only by the will of God.  Harris grew up attending 23rd Avenue Church of God in Oakland. “I was raised to live my faith,” she said at the National Baptist Convention, USA, Annual Meeting in 2022. “Marching for civil rights, my parents pushed me in a stroller. That was faith in action.” I’ve witnessed her put her faith in action on the national stage. Four days after Biden picked her to be his running mate in 2020, I was invited by the Biden-Harris campaign to attend a meeting between her and national faith leaders. We heard directly from the Rev. Dr. Amos Brown, her pastor at Third Baptist Church in San Francisco. It was clear from the very beginning of her national political career that she would not shy away from talking about her Baptist convictions. Harris once served as Rev. Brown’s campaign manager when he ran for re-election to the Board of Supervisors in San Francisco. “She is an encourager; she encourages all people regardless of their social station in life,” Rev. Brown shared with Baptist news outlet Word&Way. “She is a role model for womanhood, and just human decency and dignity at its best.”  Harris roots her personal Christian faith in the prophetic tradition of the Black Church. “Just think, after slavery was outlawed in our country, the founders of this very convention came together to protect the freedom of worship,” she said at the National Baptist Convention. “As Black people in our nation battled racist laws and ideologies, men and women of the cloth were the leaders of the Civil Rights Movement in America. And they, then, following the teachings of Christ, built coalitions of people of all faiths and races and walks of life, because they understood and knew the importance of the collective.” “I can trace my belief in the importance of public service back to learning the parable of the good Samaritan and other biblical teachings about looking out for our neighbors,” she said in a Religion News Service interview in 2020.  “Ever since I was a girl, church has not only been a place where I draw strength, it’s been a place for reflection, a place to study the teachings of the Lord and to feel grounded in a complex world,” she told RNS. “Church still plays that role for me. And I also draw something else from it as well: a sense of community and belonging where we can build lasting relationships and be there for one another in times of need.” Harris grew up in an interfaith family and chose to form an interfaith family as an adult. Her mother, an immigrant from India, took her to visit Hindu temples growing up. Harris has said this teaches her “to see that all faiths teach us to pursue justice.” If elected, Harris’ husband Douglas Emhoff wouldn’t just be the first person to hold the title of first gentleman. He’d also the first Jewish spouse of a president.  “From all of these traditions and teachings, I’ve learned that faith is not only something we express in church and prayerful reflection, but also in the way we live our lives, do our work and pursue our respective callings,” Harris said about the Hindu and Jewish influences in her life.  Emhoff has also been a leader in the Biden-Harris administration at fostering interfaith dialogue and collaboration. I heard him speak at an interfaith iftar at the U.S. Institute of Peace in 2022 during Ramadan. Harris and Emhoff hosted an Eid al-Adha celebration in 2023, the first Eid celebration at the vice president’s residence.  One of the most exciting aspects of Harris’ potential candidacy is that she doesn’t shy away from making the religious case for abortion rights, meeting head on Trump’s alliance of Christian nationalist groups pushing to outlaw abortion on so-called religious claims.  Harris spoke on this matter at the National Baptist Convention: “As extremists work to take away the freedom of women to make decisions about their own bodies, faith leaders are taking a stand, knowing one does not have to abandon their faith or deeply held religious beliefs to agree that a woman should have the ability to make decisions about her own body and not have her government tell her what to do. And she will choose, in consultation with her pastor or her priest, or a doctor and her loved ones. But the government should not be making that decision.” Harris’ boldness is representative, as most Christians in the United States support abortion rights.  In 2021, Rev. Lauren Jones Mayfield was invited to the White House to participate in a roundtable discussion on reproductive health care with Harris. “Harris honored my religious voice as I intended for her to hear it, a deep valuing of American religious liberty and reproductive freedoms,” Jones Mayfield told me. “The vice president made clear her own support for reproductive health for all Americans alongside her ongoing commitments to religious liberty. For those of us who engage in reproductive rights activism of our faith, not in spite of it, Harris honored our collective, clerical voice that celebrates the American right for a patient to choose their best course of medical treatment with their doctor, family and faith leader if it’s so desired.” Rooted in the Black Church tradition, deeply informed and inspired by her interfaith family, and a trailblazer for reproductive freedom, Kamala Harris’ Christian faith is the antithesis of Donald Trump’s Christian nationalism, in which the Christian faith is wielded as a tool to oppress, exclude and limit basic rights of people who believe or pray differently.  If elected president, she would make history on multiple fronts: the first female president, the second Black president, and the first president of South Asian descent. She’ll also be a role model for confidently living out your faith in public while respecting others’ religious values."
Of course Kamala Harris can beat Donald Trump,Not Avaiable For MSNBC,"July 22, 2024, 10:35 AM PDT",https://www.msnbc.com/opinion/msnbc-opinion/biden-kamala-harris-beat-trump-democrats-rcna162955,"By the end of last week, Joe Biden’s departure from the 2024 presidential campaign seemed a question of when, not if. But when the president finally announced his exit on Sunday afternoon, the preceding sense of inevitability didn’t lessen the shock of a political leader putting party and country above his own ambitions. In an era of intense political cynicism, Biden’s withdrawal is an extraordinarily selfless act. As Barack Obama wrote in a tribute to the man he selected as his running mate in 2008, ""we’ve also been reminded — again — that he's a patriot of the highest order.” Biden’s second announcement on Sunday, less than a half hour after the first, was equally momentous. By endorsing Vice President Kamala Harris to succeed him as president, Biden has unified Democrats and put the party on solid footing to hold the White House in November. A Biden endorsement of his vice president always seemed like a foregone conclusion, but by putting his full political weight behind Harris, Biden ensured that no Democrat would seriously challenge her bid for the party’s nomination.  Not surprisingly, by Sunday evening, the wind at Harris’ back had reached hurricane strength. All the Democratic officials whose names have been bandied around as potential challengers to Harris — including Govs. Gretchen Whitmer, Gavin Newson and Josh Shapiro — endorsed her bid for president. So, too, have former President Bill Clinton and 2016 nominee Hillary Clinton. As of Monday morning 178 members of the House and Senate Democratic caucuses had jumped on the Harris bandwagon. Key unions, abortion rights organizations and other outside groups quickly threw their support behind Harris. And Democrats appear poised to have one of the single best fundraising days in American history — raising $60 million in less than 24 hours At this point, Harris is likely to win the party’s nomination in Chicago by acclamation. But here’s the question that most concerns Democrats — can she beat Donald Trump? Critics will point out that Harris’s 2020 bid for the White House was a disaster — and they’re right. Her campaign was not just poorly managed, but it was difficult to discern a basic rationale for her candidacy. She came across as overly cautious, lacking a core set of beliefs. She struggled with staffing issues — a problem that persisted into her early days as vice president. That Harris is a polished and effective campaigner has never been in doubt. But it’s her management skills that have long been in question. But other presidents, including Biden himself, have succeeded after earlier failed campaigns. And the past three weeks have arguably lessened the concerns about Harris. Since Biden’s disastrous debate performance, pretty much every Democrat on the planet expressed either a public or private opinion about who should lead the party against Trump in November — with one notable exception, Kamala Harris. There have been zero leaks from Harris’ team or her political allies. She allowed no political daylight between her and Biden as she criss-crossed the country on behalf of the presidential ticket. And when the president dropped out, the vice president and her whip operation sprung into action, quickly lining up endorsements and support. In a matter of hours, Harris and Democrats had completely flipped the script on the 2024 campaign. Of course, the strategic problems that torpedoed Harris’ campaign four years ago could return between now and November. But one advantage for Harris is that the campaign’s trajectory and messaging have long been established. The Biden campaign sought to make 2024 a referendum on Trump. The Harris campaign will do the same. Her most important responsibility will be to make the case why another Trump term in office will be a disaster for America — and the best option for voters is to stay the course with Democrats. That she can do, and likely more effectively than the man she is replacing.  At the end of one of the most extraordinary 24-hour periods in American political history, it’s amazing what a difference one day can make. On Sunday morning, Democrats were in disarray, hopelessly divided and convinced that the 2024 election was already a lost cause. A day later, they are united and seemingly more determined than ever to end Trumpism once and for all. If they are successful, Joe Biden’s legacy will be set — as the man who stepped up to eject Donald Trump from the White House, and four years later as the man who stepped down to ensure Trump remained out of office. "
Kamala Harris’ ‘top cop’ background complicates matters for GOP,Not Avaiable For MSNBC,"July 22, 2024, 9:57 AM PDT",https://www.msnbc.com/rachel-maddow-show/maddowblog/kamala-harris-top-cop-2024-election-republicans-democrats-rcna163062,"Most American presidents were lawyers before seeking elected office, but the number of presidents with prosecutorial experience is vastly smaller. Vice President Kamala Harris would join this tiny club. The New York Times reported on the Democratic candidate’s professional background: A Time magazine report added that Harris, who campaigned in the Golden State as California’s “top cop,” also “developed a tough-on-crime reputation as district attorney.” This wasn’t a principal part of Harris’ pitch during her 2020 campaign, but that’s apparently about to change. In fact, it was just a couple of hours ago when the vice president’s political operation issued a press statement with a headline that read in part, “Donald Trump Won’t Be the First Felon Kamala Harris Holds Accountable.” For Republicans, this creates a challenge. At last week’s Republican National Convention, Iowa Attorney General Brenna Bird boasted about her party’s approach to law enforcement: “We put criminals where they belong: in jail.” Montana Senate hopeful Tim Sheehy added, “Cops are good, criminals are bad.” My personal favorite was a speech from House Majority Whip Tom Emmer, who said with a straight face, “Donald Trump stands with the people and the police — our men and women in blue — not with the criminals and rioters.” It was around this time when convention attendees waved pre-printed “Back the Blue” signs. As we discussed soon after, there was a glaring problem with the rhetoric: A jury recently found Trump guilty of 34 felonies — which came on the heels of a different jury holding Trump liable for sexual assault — and the Republican happens to be running on a platform rooted in his support for rioters. But after President Joe Biden announced his decision to withdraw from the 2024 race, the dynamic took on a greater significance. This isn’t just a situation in which Republicans have nominated a criminal for the nation’s highest office, it’s also a situation in which the GOP candidate will likely face someone with a record of putting criminals behind bars. The New York Times reported a few months ago on the “complicated relationship” between Trump and law enforcement, which touched on an underappreciated story. Emmer’s rhetoric about the former president “standing with the police” notwithstanding, Trump has repeatedly lashed out at those he’s described as “dirty cops,” as part of a larger offensive against law enforcement. He’s also condemned law enforcement officials as “fascists” and expressed support for prosecuting members of the Capitol police. Just as notably, Trump has promised pardons for insurrectionists, many of whom violently clashed with police officers. And that was before he prepared to take on a former prosecutor. Complicating matters, some of the top contenders for the Democratic vice presidential nomination — Pennsylvania Gov. Josh Shapiro, Kentucky Gov. Andy Beshear, North Carolina Gov. Roy Cooper and Michigan Gov. Gretchen Whitmer — are also former prosecutors, raising the prospect of two former prosecutors taking on the first presidential candidate in American history to be convicted of a crime. The Republican’s crimes and condemnations of law enforcement haven’t stopped multiple police unions from endorsing his 2024 candidacy — the first time in modern American history in which police unions have backed a criminal for national elected office — though it’s an open question as to whether they might reconsider. As for Trump, the former president said at a rally on Saturday: “You’re not going to teach a criminal not to be a criminal.” Don’t be surprised if Team Harris puts that quote to use in the coming weeks and months."
"Monday’s Campaign Round-Up, 7.22.24",Not Avaiable For MSNBC,"July 22, 2024, 9:00 AM PDT",https://www.msnbc.com/rachel-maddow-show/maddowblog/mondays-campaign-72224-rcna163049,"Today’s installment of campaign-related news items from across the country. * Politico had a good report on some of President Joe Biden’s closest advisers presenting him with polling evidence that “showed his path to victory in November was gone.” The incumbent’s decision to stand down soon followed. * Democratic Rep. Sheila Jackson Lee of Texas died late last week. A Texas Tribune report noted, “The possibility and timing of a special election to fill Jackson Lee’s seat for the remainder of the current term, which concludes in January, remain uncertain.” * Although there was some reporting over the weekend about Sen. Joe Manchin possibly rejoining the Democratic Party and running for president, the independent West Virginian told CBS News that he would not be a candidate. * For reasons that I do not understand, Donald Trump continued to rail against Biden Sunday night and Monday morning, including fresh allegations from the former president that the Democrat “never had Covid.” (If you’re confused about why the Republican keeps pushing this, you’re not alone.) * In a bit of a surprise, businessman Sandy Pensler ended his Republican U.S. Senate campaign in Michigan and agreed to back his primary rival, former Rep. Mike Rogers. * The Associated Press reported over the weekend, “An initiative to ask voters if they want to protect the right to a pre-viability abortion in Montana’s constitution has enough signatures to appear on the November ballot, supporters said Friday.” * Earlier this year, then-Republican presidential hopeful Nikki Haley declared, “The first party to retire its 80-year-old candidate is going to be the party that wins this election.” The on-camera quote has suddenly taken on greater meaning. * And if you’re wondering about Vice President Kamala Harris and the coconut tree meme, NPR apparently has you covered."
Flashback to 2018: Harris says she is keenly aware of what a barrier-breaking campaign would entail,Not Avaiable For MSNBC,"July 22, 2024, 8:58 AM PDT",https://www.msnbc.com/know-your-value/out-of-office/flashback-2018-harris-says-keenly-aware-barrier-breaking-campaign-enta-rcna163048,"All eyes are on Vice President Kamala Harris following Joe Biden’s decision over the weekend to withdraw his candidacy for the U.S. presidency and to endorse her instead. If Harris, 59, become the Democratic nominee and defeats Republican candidate Donald Trump in November, she would be the first woman to serve as U.S. president. Harris previously served as the first woman and first Black attorney general and U.S. senator in California’s history. In December 2018, then-senator Harris headlined a Know Your Value event in San Francisco as she was considering making a bid for the presidency in 2020. Harris said she was keenly aware of the challenges a barrier-breaking campaign would entail. “Let’s be honest. It’s going to be ugly,” Harris told Know Your Value founder and “Morning Joe” co-host Mika Brzezinski on stage in front of hundreds of women. “When you break things, it is painful. And you get cut. And you bleed.” Harris did end up making a bid for the nation’s top position, but withdrew her bid in December 2019, citing a lack of funding. In 2021, the vice president was honored on Forbes and Know Your Value’s inaugural “50 Over 50” list . During an interview with Brzezinski about the honor, Harris encouraged women not to view their age as a limitation and to follow their passions at every phase of their lives. “There is so much that we still need to do to encourage girls and women of every age to know and internalize their capacity, and to internalize their strength and their gift, whatever that may be—and to not be burdened by other peoples’ limited views of their capacity based on who has historically done what,” she said. Harris, then 56, added she has never used her age as a guide for her life plans— not even when others told her “no.” “I’ve never been one to do a five-year plan. Never. I’ve never evaluated myself based on my age,” Harris told Brzezinski. “...I’ve been told many times during my career, things from, ‘oh, you’re too young, ‘It’s not your turn,’ ‘They’re not ready for you.’ But I didn’t listen.” The vice president added: “I eat ‘no’ for breakfast.” And just last month, Brzezinski sat down with Harris to mark the two-year anniversary of the Supreme Court ruling striking down the landmark Roe v. Wade decision, which guaranteed the right to abortion in the United States. Accompanying Harris was Hadley Duvall, a young woman from Kentucky who  survived her stepfather’s sexual abuse as a child. Duvall teamed up with Harris to sound the alarm on what a second Trump presidency would mean for women in America. Harris declared that freedom is at stake in this year’s election. “Every person of whatever gender should understand that if such a fundamental freedom, such as the right to make decisions about your own body can be taken. Be aware of what other freedoms may be at stake,” said Harris. Brzezinski asked Harris why the presidential race is so close, to which Harris responded: “These races are always close …At the end of the day, we’re going to win ..Just look at what happened in the midterms, for example…Many talked about the red wave. I would call it a red drip. You look at where the American people were in so called red states, and so called blue states, every time this issue of abortion was on the ballot, the people voted for freedom …We have our differences, but the American people believe in the integrity of our country and our values, which include that we protect and fight for individual freedoms and liberties. And so I do believe that the contrast is clear. And in November, it will be stark.”  "
"Election denier Mike Johnson claims legal concern for Biden voters, democracy",Not Avaiable For MSNBC,"July 22, 2024, 8:52 AM PDT",https://www.msnbc.com/deadline-white-house/deadline-legal-blog/mike-johnson-biden-harris-trump-rcna163013,"When you hear “Mike Johnson” in the same breath as “invalidating votes,” you might think of his role supporting unsuccessful efforts to overturn Joe Biden’s 2020 presidential victory. But on Sunday, the Republican House speaker voiced purported concern about invalidating the votes of millions of Democratic primary voters, raising the specter of unspecified legal challenges to Democrats putting forward a different nominee than Biden against Donald Trump in November. For starters, there doesn’t appear to be any legal impediment to nominating someone besides Biden (seemingly Vice President Kamala Harris, at this point). Though Biden was the presumptive nominee after winning all but one Democratic contest earlier this year, he hadn’t officially been nominated. That process was expected to take place next month. And despite what some Republicans have claimed, the relevant state ballot deadlines for appearing on the ballot haven’t passed. And in this historic moment, it’s worth recalling Johnson’s support for invalidating votes in the 2020 election. When he became speaker last year, The New York Times called him “a silent but pivotal partner” in the failed effort, citing, among other things, that he “collected signatures for a legal brief in support of a Texas lawsuit, rooted in baseless claims of widespread election irregularities, that tried to throw out the results in four battleground states won by” Biden. Johnson is a lawyer, by the way.  Relatedly, there’s Johnson’s support for his party’s nominee, who is under criminal indictment for allegedly subverting the 2020 election. Trump’s federal election interference indictment, for example, alleges that, “on the pretext of baseless fraud claims, the Defendant pushed officials in certain states to ignore the popular vote; disenfranchise millions of voters; dismiss legitimate electors; and ultimately, cause the ascertainment of and voting by illegitimate electors in favor of the Defendant.” (Trump has pleaded not guilty in all four of his criminal cases and was found guilty in the New York case, the only one to have gone to trial.) So while we should expect Johnson to continue supporting baseless legal claims to aid Republicans, right now it’s hard to see any merit to such claims. And even if legitimate issues arise, it will always be difficult to take Johnson seriously as a caretaker for democracy and the rule of law. Subscribe to the Deadline: Legal Newsletter for updates and expert analysis on the top legal stories. The newsletter will return to its regular weekly schedule when the Supreme Court’s next term kicks off in October."
Team Trump (sort of) provides new info on post-shooting medical care,Not Avaiable For MSNBC,"July 22, 2024, 8:31 AM PDT",https://www.msnbc.com/rachel-maddow-show/maddowblog/team-trump-sort-provides-new-info-post-shooting-medical-care-rcna163038,"For the first several days after a gunman attempted to assassinate Donald Trump, the former president and his political operation had surprisingly little to say about the medical care he’d received. What’s more, it wasn’t at all clear why they’d be tight-lipped about this. An Associated Press report noted last week that the public was “still in the dark over the extent of his injuries, what treatment the Republican presidential nominee received in the hospital, and whether there may be any long-term effects on his health. Trump’s campaign has refused to discuss his condition, release a medical report or records, or make the doctors who treated him available, leaving information to dribble out from Trump, his friends and family.” CNN’s Dr. Sanjay Gupta also had a good piece along these lines last week, noting that a full public assessment of Trump’s injuries “is necessary,” adding: “The concern is that gunshot blasts near the head can cause injuries that aren’t immediately noticeable, such as bleeding in or on the brain, damage to the inner ear or even psychological trauma. As a trauma neurosurgeon, I have seen how a thorough evaluation after any kind of gunshot wound can provide a complete picture and lead to a speedier recovery.” Since I wrote about this a few days ago, it seemed only fair to note that Team Trump did, in fact, eventually provide some additional information — at least, sort of. The Washington Post reported: To be sure, some transparency is better than no transparency, and it’s good to know that the former president is recovering well in the wake of the shooting nine days ago. But this doesn’t put the matter entirely to rest. Under normal circumstances, we’d expect to receive information from the physicians who actually treated Trump after the incident. There might even be a news conference or two. Instead, Team Trump waited a week before issuing a letter from a member of Congress — issued on Jackson’s congressional letterhead — who acknowledged two years ago that he had allowed his medical license in Florida to expire. (Jackson’s medical license remains in “military active” status until early next year.) This is the same Jackson who was slammed by the Pentagon’s inspector general’s office, which concluded in 2021 that Jackson engaged in “inappropriate conduct” while serving as Trump’s White House doctor, adding that the congressman “drank alcohol, made sexual comments to subordinates, and took the sedative Ambien while working as White House physician.” The watchdog also found that Jackson mistreated subordinates and “disparaged, belittled, bullied and humiliated them.” In 2022, the Navy demoted Jackson from admiral to captain as a consequence of his misconduct. The Washington Post’s report added: “Jackson worked in the White House medical unit under three presidents but drew scrutiny in a Pentagon inspector general’s report, which states that he provided prescription drugs without proper paperwork — a habit that allegedly earned him the nickname ‘Candyman.‘ Jackson has denied the report’s claims, describing them as politically motivated.” He was nevertheless elected to Congress, where Jackson ran into ethics troubles. Between Jackson’s record and Trump’s long-standing record of problematic medical disclosures, Saturday’s statement didn’t exactly resolve the larger concern. This post updates our related earlier coverage."
