,Title,Edit_Date,Origal_Date,Link,Content
0,Here's what Kamala Harris has to do in high-stakes sit-down interview,Not Avaiable For MSNBC,2024-08-26 13:48:00,https://www.msnbc.com/top-stories/latest/kamala-harris-tim-walz-interview-donald-trump-rcna168274,"This is an adapted excerpt from the Aug. 25 episode of ""Alex Witt Reports."" This week, Vice President Kamala Harris is expected to sit down for her first interview as a presidential candidate. Since entering the race, Harris has been criticized for her lack of interviews and press conferences. Earlier this month, she promised to sit down for an interview by the end of August. With less than a week to go, NBC News is now reporting Harris and her running mate, Gov. Tim Walz of Minnesota, will take part in a joint interview in the coming days, though it’s unclear with whom or precisely when that will happen.   This first interview is critically important for the Harris campaign. It could help keep up the incredible momentum she’s built since entering the race. It’s also a very important moment for the country. Republicans and Democrats alike need to see Harris engaged in an interview with a sober, serious reporter. She needs to be asked tough questions and provide answers to the American people — on the record. Have any of her policy positions shifted since she ran for president in 2019? If so, why did those shifts occur? I’m sure she’ll get pressed on her role within the Biden-Harris administration on hot-button issues like immigration and the border. She may even get questions on foreign policy and the Afghanistan withdrawal.   But, in some ways, it’s more about how the vice president answers these questions than the actual answers themselves. There will likely be some uncomfortable moments for Harris, but it’s those moments that are the most important. The American people need to see how she handles being asked tough questions and how she reacts under pressure.  The Trump campaign’s first attack ad against Harris included an exchange between the vice president and NBC News’ Lester Holt during a 2021 interview. When Harris was asked by Holt why she had not visited the border as vice president she quipped back that she had also not been to Europe. Is that the Harris we’ll see this week — defensive under pressure? Or will we see the strength and directness she’s displayed over the last four weeks? "
1,"Trump howls as Harris, Dems turn him into the 2024 incumbent",Not Avaiable For MSNBC,2024-08-26 11:36:00,https://www.msnbc.com/rachel-maddow-show/maddowblog/trump-howls-harris-dems-turn-2024-incumbent-rcna168276,"During the Democratic National Convention, Vice President Kamala Harris and her supporters didn’t literally describe Donald Trump as an incumbent, but it was a message the party was eager to convey. Over the weekend, the former president added text to the subtext. “Kamala and her ‘handlers’ are trying to make it sound like I am the Incumbent President,” the Republican whined early Saturday at 1:15 a.m. He’s not the only one who’s noticed. TPM’s Josh Marshall summarized: I can appreciate why this is exasperating to the GOP nominee and his supporters. Harris is, after all, the incumbent vice president. She’s also the candidate offering American voters a breath of fresh air and a “new way forward,” as the Democrat put it in her convention speech. To a very real degree, Trump brought this on himself, pretending he won the 2020 race, asking that he be described as “Mr. President,” meeting with foreign officials as a matter of course, banishing the word “former” from his title, etc. But there’s more to it than that. As Off Message’s Brian Beutler noted in his latest column: Quite right. Trump grudgingly exited the White House in January 2021, but in the months and years that followed, he not only retook control of his political party, he also remained a dominant voice in the American discourse, en route to cruising through GOP primaries and caucuses, becoming his party’s presidential nominee for the third consecutive cycle. As a legal and official matter, the Republican has no more authority than you or I. He can’t sign or veto bills. He can’t issue executive orders. He is a private citizen with no powers to speak of. But it’s hardly unreasonable to conclude that we’re mired in the Trump era of American politics. And that, in turn, is precisely why Harris has an advantage as the candidate of change. The message to the electorate couldn’t be more straightforward: 2024 offers a unique opportunity to bring the Trump era to an end and usher in something new."
2,"Lawyers from Reagan, Bush administrations endorse Harris in 2024 race",Not Avaiable For MSNBC,2024-08-26 08:15:00,https://www.msnbc.com/rachel-maddow-show/maddowblog/lawyers-reagan-bush-administrations-endorse-harris-2024-race-rcna168217,"Robert F. Kennedy Jr. ended his presidential campaign on Friday and threw his support behind Donald Trump’s Republican candidacy. Time will tell whether this affects the 2024 race in any meaningful way, though at face value, the significance of the developments seemed limited: The independent conspiracy theorist has never held public office. His notoriety comes from being a lawyer with a famous name. Around the same time as Kennedy’s news, however, some lawyers who lack famous names made a notable endorsement of their own. Fox News reported: “We endorse Kamala Harris and support her election as President because we believe that returning former President Trump to office would threaten American democracy and undermine the rule of law in our country,” the lawyers wrote in a letter that the signatories shared first with Fox News Digital. The signatories added that “we urge all patriotic Republicans, former Republicans, conservative and center-right citizens, and independent voters to place love of country above party and ideology and join us in supporting Kamala Harris.” The same joint statement went on to remind the public, “Donald Trump’s own Vice President and multiple members of his Administration and White House Staff at the most senior levels — as well as former Republican nominees for President and Vice President — have already declined to endorse his reelection.” “Trump’s attempt to prevent the peaceful transfer of power after losing the election proved beyond any reasonable doubt his willingness to place his personal interests above the law and values of our constitutional democracy,” the Reagan and Bush administration lawyers added. “We cannot go along with other former Republican officials who have condemned Trump with these devastating judgments but are still not willing to vote for Harris. We believe this election presents a binary choice, and Trump is utterly disqualified.” They concluded that the GOP nominee is “guilty of grave wrongdoing to our Constitution, democracy, and rule of law, and who remains unfit, dangerous, and detached from reality.” The endorsement from Friday came on the heels of Harris also picking up a variety of other Republican endorsements and Democrats including some GOP speakers at the party’s convention in Chicago. Indeed, Friday’s bookend endorsements were emblematic of the broader message the Harris campaign wants to convey to the electorate: Trump picked up support from a fringe anti-vaccine activist, while the Democratic nominee received support from lawyers from Republican administrations who want to put country over party. For Democrats pushing the “normal vs. weird” message, the developments were entirely on-message."
3,"Democrats, stop calling the Harris-Trump race ‘the prosecutor’ vs. ‘the felon’",Not Avaiable For MSNBC,2024-08-26 03:00:00,https://www.msnbc.com/opinion/msnbc-opinion/kamala-harris-trump-prosecutor-felon-democrats-rcna167349,"Since Vice President Kamala Harris entered the presidential race, some Democrats have summarized her matchup against former President Donald Trump as “the prosecutor” versus “the felon.” On the day that President Joe Biden passed the baton to Harris, Sen. Chris Murphy, D-Conn., said of her, “She is a prosecutor running against a felon.” At last week’s Democratic convention, speakers including New York Gov. Kathy Hochul, U.S. Rep. Jasmine Crockett, D-Texas, and Biden embraced that framing. In defending his record on public safety, Biden said Monday, “And crime will keep coming down when we put a prosecutor in the Oval Office instead of a convicted felon.” The prosecutor versus the felon is the kind of glib expression that’s perfect for an election-year bumper sticker. However, the suggestion that a “felon” is inherently and permanently untrustworthy makes for a heaping helping of hypocrisy from a party that has rightly identified overcriminalization, mass incarceration and voter suppression as systemic problems. Yes, a Manhattan jury convicted Trump of 34 felony counts in May. Were it not for a Georgia prosecutor’s affair with a lawyer she hired, a Trump appointee in Florida entertaining his ridiculous motions and a Supreme Court that seems bent on rejecting the whole theory of America, he may have been convicted of up to 54 more. That said, Trump showed his manifest unfitness for office long before any of those indictments. He exhibited it during his first campaign, during his term in office, while campaigning as an incumbent and no more so than by rejecting his status as a lame duck. And he is further demonstrating that unfitness during this, his third campaign for president. But to label him a felon and use it to mean unfitness is to suggest that all “felons,” by their very nature, are bad and irredeemable. A political slogan can’t communicate every nuance. But at a minimum, it shouldn’t send a message inconsistent with the party’s stated values. There has been a conscious effort in recent years — no doubt derided by detractors as “woke” — to refrain from using language that dehumanizes people and reduces them to their status or their circumstances. Say “enslaved people,” not “slaves.” Say “incarcerated people,” not “prisoners” or “inmates.” Again, there are critics of such constructions, and, without a doubt, those constructions make for clunkier sentences. But the point remains that people who have experienced a thing are far more than the thing they’ve experienced. Consider the lawyer, poet and writer Reginald Dwayne Betts, as brilliant a person as you’ll find in this country. Before he wrote three acclaimed books of poetry and a memoir, and before his genius was recognized by the MacArthur Foundation, he spent years in prison for a violent carjacking he committed when he was 16. When discussing the title of his 2019 volume of poetry, Betts told NPR, “It’s called ‘Felon.’ But the thing is, ‘felon’ is just such an inadequate description of anybody.” Those using the “prosecutor vs. felon” dichotomy appear unaware of the inadequacy of that framing. They may believe themselves to be making a commentary only about Trump. But they are betraying a belief that the word “felon” tells you everything you’ll ever need to know about a person. And, to repeat, they’re undercutting their arguments against less punitive sentences and their arguments against letting people who’ve served their time vote again. If all felons are bad, then why should we fight for their right to participate in elections? Let’s set aside the fact that some people convicted of felonies aren’t guilty and, for argument’s sake, assume that everyone so labeled committed a significant crime. Even then, the list of felons would include good people who did uncharacteristically awful things, sometimes accidental things. That list would also include people who were horrible human beings and turned their lives around. And, yes, it would include people like Trump, that is, people we know would commit the same crimes again if given the chance. The argument against Trump, therefore, isn’t that he has a record. It’s that he’s unrepentant: a mendacious, self-seeking narcissist who has never evinced a shred of self-reflection or regret. It’s that he never has been, and likely never will be, deserving of anybody’s trust, let alone the country’s trust. As a veteran journalist, I have known a significant number of elected officials who have gone to prison. Not only that, but I’ve watched a few of them re-emerge, return to the game of politics and even run for office again. One of them once requested a meeting with me where he asked how I squared my belief in second chances with my opposition to his candidacy. Easily. My belief that people shouldn’t be forever punished doesn’t mean I think people who have been criminally punished and then run for office are automatically due political support. It doesn’t mean I think they’re good people. There are people I’d consider voting for even if they have gone to prison, and others I’d never consider even if they haven’t. Under no circumstances would the Democrats throwing around the word “felon” have considered voting for him even if a jury hadn’t found him guilty. That’s because they’re not opposed to Trump because he’s a “felon.” They’re opposed to Trump because he’s Trump."
4,Team Harris' DNC approach offered a classic lesson in political communication,Not Avaiable For MSNBC,2024-08-24 03:00:00,https://www.msnbc.com/inside-with-jen-psaki/kamala-harris-dnc-masterclass-immigration-trump-rcna168037,"The Democratic National Convention was a joyful, inclusive reminder of what politics is supposed to feel like. And Vice President Kamala Harris ended the week by delivering a fierce, patriotic and refreshing speech that combined her positive vision for the country with an absolute takedown of Donald Trump. She looked and sounded like she was going to walk off that stage right into the Oval Office. But it’s important to remember that this race is far from over. It is going to be a grind. It is going to be nasty, and Trump and MAGA land are going to do everything they can to take her down. One of the issues the Trump campaign is betting on is immigration. But what this week also showed us is that Harris and her campaign are not going to avoid the hot-button topic. They are going to address it head-on. In her speech on Thursday, Harris smartly emphasized her border record and the ways she has advocated for increased security. She gave us a preview of how she will challenge Trump during the Sept. 10 presidential debate stage. “I refuse to play politics with our security,” she told the convention. “And here is my pledge to you: As president, I will bring back the bipartisan border security bill that he killed, and I will sign it into law.” And this theme was present during earlier convention nights as well. Texas Sheriff Javier Salazar took the stage on Wednesday with a speech ready-made for a campaign ad. Salazar highlighted how Trump’s actions led to the collapse of the most prominent border reform bill in recent history. The appearance underscored how much Democrats do care about border security, and reaffirmed their commitment to the tough conversations. This strategy isn’t just talk. Rep. Tom Suozzi, who won a tough special election in February to replace GOP Rep. George Santos, successfully embraced this same strategy. He addressed immigration issues directly and demonstrated that Democrats can be both strong on security and compassionate in policy. This is a classic lesson in political communication: When facing a perceived weakness, confront it head-on. And on Wednesday and again on Thursday, we saw the Harris team do just that. On Sept. 5, Trump will host an event at his Bedminster golf club honoring those convicted for their roles in the 2021 Capitol attack. Billed as the “J6 Awards Gala,” the event will include a raffle for a plaque commemorating a song by Trump and the “J6 Prison Choir,” composed of Jan. 6 defendants. This gala is more than just a fundraiser. It’s also another warning highlighting Trump’s ongoing efforts to rewrite history. And it’s a chilling reminder of the lengths Trump will go to reshape reality. (Although with $400 million in legal fees hanging over his head, Trump could probably use a fundraising gala of his own). Coach Walz had us all feeling like Minnesota state champions when former members of his football team took the DNC stage on Wednesday night. Ben Ingman, a track athlete and former student of Walz’s, recalled the time his former teacher helped push Ingman’s car out of a snowbank, just one of many examples of Walz’s lifelong generosity. I spoke with both Ingman and Sean Kooman, a state champion kicker, on our show after their DNC appearance. “It really feels kind of like magic,” Kooman told me. “I’ve never met anybody with as much integrity as him.” This may be the most Americana DNC I’ve ever been a part of, and I’m here for it. Moments like these remind us what true leadership looks like: grounded in community, integrity and simple acts of kindness. As President Barack Obama said, Tim Walz is exactly the kind of person who should be in politics. This week Luke Russert, the host and creative director of MSNBC Live, wrote a powerful piece on the enduring significance of party conventions and why we shouldn’t take them for granted. During our conversation, I asked Luke about his experience at this DNC and why, like many of us, he was so deeply moved by Walz’s heartfelt speech. Reflecting on the moment, Luke said, “Anybody watching that with a soul left knows, ‘Hey, this is a good guy.’ The way his son just cheered for him brought me back to so many memories of my own childhood, cheering on my father, and knowing that my father loved me.” What show are you bingeing right now? My wife got me hooked on “Bridgerton,” which I should say I happily enjoyed. But the show I binge constantly and rewatch is “Conan O’Brien Must Go.” Conan’s humor is getting better with age. What’s the last book you read? I read two at the same time: An old-school gem “Post Office” by Charles Bukowski and a galley copy of “The Barn: A Secret History of a Murder in Mississippi” written by my friend Wright Thompson. “The Barn” comes out in a month and will be the book of the year. It’s the best thing I’ve read in quite a while. What time do you wake up on the weekends? Usually by 9:30 a.m. I’m a night owl so it can be a sliding scale, but my pug pretty much makes the call. How do you take your coffee? Black. But I’m very strange because I will drink one cup hot and then one iced right after, and for the rest of the day."
5,This was the most effective line from Kamala Harris' DNC speech,Not Avaiable For MSNBC,2024-08-23 14:00:00,https://www.msnbc.com/morning-joe/morning-joe/kamala-harris-dnc-speech-prosecutor-donald-trump-rcna168015,"This is an adapted excerpt from the Aug. 23 episode of “Morning Joe.” Donald Trump woke up to some bad news this morning. Overnight, following a blockbuster speech at the Democratic National Convention, Vice President Kamala became the candidate of change.  I’m sure that terrifies the Trump campaign. If you look historically at presidential elections, people who make up their minds at the end tend to go toward the candidate they think is most likely to change things. Right now, that’s not Trump. The most effective way Harris made her case to the American people on Thursday was how she connected the stages of her career with a common purpose. During her time as a prosecutor, an attorney general, a senator, and then a vice president, Harris noted that she “only had one client: the people.” She contrasted that directly with Trump, declaring “the only client he has ever had: himself.” I’m sure the Harris campaign was very happy to wake up to headlines across the country about the “new way forward.” She is no longer just somebody who is the vice president. She is a presidential candidate.  This week, Democrats pulled off what many thought was impossible for a sitting vice president — taking away the cloak of incumbency. Kamala Harris is now the new kid in town. Join Claire McCaskill, Rachel Maddow and many others on Saturday, Sept. 7, in Brooklyn, New York, for “MSNBC Live: Democracy 2024,” a first-of-its-kind live event. You’ll get to see your favorite hosts in person and hear thought-provoking conversations about what matters most in the final weeks of an unprecedented election cycle. Buy tickets here."
6,Kamala Harris' DNC acceptance speech didn't overlook the Supreme Court's significance,Not Avaiable For MSNBC,2024-08-23 08:28:00,https://www.msnbc.com/deadline-white-house/deadline-legal-blog/kamala-harris-dnc-acceptance-speech-supreme-court-rcna167929,"Even if she only mentioned it a couple of times, the Supreme Court loomed large in Kamala Harris’ speech accepting the Democratic presidential nomination in Chicago on Thursday night. After all, she addressed two of the biggest rulings in recent years, both of which involve the Republican presidential nominee: the court’s broad grant of criminal immunity for presidents and its stripping of abortion rights.  On immunity, Harris cast the decision in Trump v. United States as the foundation for an even more dangerous second Trump term if he wins in November: “Consider the power he will have, especially after the U.S. Supreme Court just ruled that he would be immune from criminal prosecution. Just imagine Donald Trump with no guardrails, and how he would use the immense powers of the presidency of the United States.”  Harris’ general description of the ruling — “that he would be immune from criminal prosecution” — triggered some fact-checkers, who noted that the high court’s ruling is technically more complex than her summary. But while adding context about the ruling is theoretically helpful — that he’s absolutely immune for “core” constitutional acts, presumptively immune for all official acts but not immune for unofficial ones — the reality is that the extent of Trump’s immunity is yet to be determined.  The federal election interference case is now back in the trial court, where U.S. District Judge Tanya Chutkan will attempt to apply the new immunity test to Trump’s Washington, D.C., indictment in the first instance, after which the Republican-appointed Supreme Court majority may have the last word on what its vague ruling means in practice. That is, unless Trump wins in November — in which case the prosecution is good as gone and we may never know how criminally immune the Roberts Court believes Trump to be. At any rate, Harris’ statement about Trump lacking guardrails thanks to the immunity ruling may turn out to be prescient if he’s re-elected. However vague the court’s ruling, it could provide Trump more of a roadmap for how to use the awesome power of the presidency to his personal advantage while minimizing criminal exposure. Recall that Chief Justice John Roberts’ opinion in Trump v. United States didn’t meaningfully address Justice Sonia Sotomayor’s warning in dissent that presidents can now, for example, order Seal Team 6 to assassinate a political rival or organize a military coup to hold onto power with impunity.    The Democratic nominee also highlighted the high court’s wreckage on abortion: “But tonight, in America, too many women are not able to make those decisions. And let’s be clear about how we got here: Donald Trump handpicked members of the U.S. Supreme Court to take away reproductive freedom.” Indeed, Trump appointed three of the five justices who voted to overturn Roe v. Wade in 2022’s Dobbs decision.  Harris’ highlighting of both crucial rulings reminds us that the court is also on the ballot in November.  Subscribe to the Deadline: Legal Newsletter for updates and expert analysis on the top legal stories. The newsletter will return to its regular weekly schedule when the Supreme Court’s next term kicks off in October."
7,"In convention speech, Kamala Harris succeeded where Trump failed",Not Avaiable For MSNBC,2024-08-23 05:55:00,https://www.msnbc.com/rachel-maddow-show/maddowblog/convention-speech-kamala-harris-succeeded-trump-failed-rcna167918,"On July 18, Donald Trump took the stage at the Republican National Convention, where the former president was expected to deliver one of the most important speeches of his political career. He failed spectacularly: The GOP candidate spoke for more than an hour and a half, reminding voters of all the things they don’t like about him and failing to take advantage of a unique opportunity. Trump meandered aimlessly. He ad-libbed unnecessarily. He lied excessively. He was in equal measures divisive, bitter, juvenile, conspiratorial and alienating. The Republican nominee effectively presented a case study in how not to deliver an acceptance speech at a major party convention. Exactly six weeks later, Vice President Kamala Harris took the stage at the Democratic National Convention. Her remarks were not just a triumph on their own terms, they also succeeded where her Republican rival failed. NBC News reported: Why did her convention speech work? Harris presented herself as the change candidate: That’s not an easy thing for an incumbent vice president to pull off, but the Democrat’s “new way forward” rhetoric resonated in part because she’s running against a failed GOP candidate who’s led his party’s ticket in every election since 2016. Worse, Trump is explicitly running on a platform of taking the nation backwards, while Harris repeatedly used the word ""forward"" in her remarks. Harris reached out to a broad electorate: Six weeks after Trump’s needlessly divisive remarks, the Democratic nominee declared, “I know there are people of various political views watching tonight. And I want you to know, I promise to be a president for all Americans. You can always trust me to put country above party and self.” In the same remarks, she added, “Our nation, with this election, has a precious, fleeting opportunity to move past the bitterness, cynicism and divisive battles of the past — a chance to chart a new way forward — not as members of any one party or faction, but as Americans.” Harris was optimistic and patriotic: “[O]ur opponents in this race are out there every day denigrating America, talking about how terrible everything is,” the vice president said. “Well, my mother had another lesson she used to teach: Never let anyone tell you who you are. You show them who you are. America, let us show each other and the world who we are and what we stand for: Freedom, opportunity, compassion, dignity, fairness and endless possibilities. We are the heirs to the greatest democracy in the history of the world.” Harris sounded like a normal human being: While Trump raged on his social media platform, the Democratic nominee assured voters, “I will be a president who unites us around our highest aspirations. A president who leads and listens; who is realistic, practical and has common sense.” Harris was disciplined — and didn’t go on and on: Trump’s 90-minute rant in Milwaukee sent some of his loyalists heading for the exits before it was over. The vice president’s remarks, in contrast, were half as long. The former abandoned his script to share strange thoughts that popped into his mind; the latter recognized the importance of being a disciplined candidate for the nation’s highest office. I won’t pretend to know what’s going to happen on Election Day 2024, but as the dust settles in Chicago, Harris has reason to feel good about her chances."
8,The GOP’s racist attacks on Kamala Harris reveal a painful paradox for people like me,Not Avaiable For MSNBC,2024-08-23 03:00:00,https://www.msnbc.com/opinion/msnbc-opinion/kamala-harris-black-indian-race-trump-rcna167777,"In her rousing Democratic National Convention address Thursday night, Vice President Kamala Harris paid homage to her mother's determination, “traveling from India to California with an unshakable dream.” I, like Harris, am a mixed-race South Asian. My father is Pakistani and my mother is Caucasian (mostly British, though born and raised in Southern Africa). And the tired racialized narratives about Harris’ identity are familiar, echoing narratives and projections about my own identity that I’ve navigated throughout my life. The untidiness of mixed-race identities and the discomfort that produces foregrounds our collective preoccupation with categorizing and ordering people, an often dehumanizing process — not to mention, a stubborn relic of the colonial episteme.  According to her detractors, Harris is either “too Black” or “too Indian” or not enough of either. In the words of former President Donald Trump’s running mate, Sen. JD Vance of Ohio, she “is a fundamentally fake person.” “I believe that Kamala Harris is whatever she says she is,” Vance said in an interview with CNN earlier this month. “She pretends to be one thing in front of one audience. She pretends to be something different in front of another audience.” “Is Kamala a chameleon? Is she Indian?” cried former wrestling star and MAGA fanboy Hulk Hogan in a video obtained by TMZ. He followed this with a racist, so-called Native American greeting. (Hulk, are you OK?)  More than anything, these examples evince to me just how unstable racial categories are. Mixed-race folx are often reduced to a binaristic paradigm — they are either too much of one thing or not enough of either. Or, paradoxically, they are both at the same time.  Throughout my life, I have been told I am not white enough. I am not brown enough. Or I am too brown. Though, interestingly, never too white. The one-drop rule, a Jim Crow-era law which stipulated that even one drop of blood from a Black ancestor made someone Black (as though it is a contamination), seems alive and well in how we collectively define mixed-race people today — especially if you present as anything other than white. (Colorism is an entirely different dimension of this.) And these narratives insist we are “whole of nothing.” It’s important to note that Harris’ lived experience is different in a multitude of ways, not least because she is competing with being two different kinds of minorities, contending with the heavy burden of historical racism around Blackness in this country and the suspicion of being an Indian foreigner. Suffice it to say, conversations around mixed-race identity are infused with covert white supremacy. One way I encounter it, for example, is in the refusal to accept mixed-race people, who are partially white, as white.  I’ve been told by white people that I profit off of being brown (the “DEI accusation” levied by white people who feel that minorities can bypass meritocracy, which is itself a fallacy). It’s as though the world — built on tenuous, stratifying racial paradigms — cannot handle the embodiment of identities that destabilize these paradigms. We saw this discomfort play out a few weeks ago when Trump questioned whether Harris was “Black enough.”  “She was only promoting Indian heritage,” Trump said in an interview at the National Association of Black Journalists convention. “I didn’t know she was Black until a number of years ago, when she happened to turn Black, and now she wants to be known as Black.” He added, “Is she Indian or is she Black?” That preposterous question perfectly captures the discomfort produced in many by the existence of mixed-race people, who embody experiences and/or identities that challenge our racial ordering.   My experience as a mixed-race person makes me reflect on racial formation theory, a framework introduced by sociologists Michael Omi and Howard Winant in the 1980s, which postulates “that ‘race’ is a social and political reality that remains unfixed, due to the role of institutions and groups in shaping its meaning,” sociologist Eileen O’Brien explains in “The Cambridge Handbook of Sociology.” Mixed-race people both highlight the instability of racial categories and further destabilize these ideologies. However, it’s worth noting that, like most things that emerged in the ‘80s, we should take this with a grain of salt. For example, detractors, such as sociologists Joe Feagin and Sean Elias, argue that the theory doesn’t do enough to decenter whiteness. “[R]acial formation theory inadequately explains: racial meanings and white racial framing; US society’s racial foundation; the US state and other sites of racial contestation; whites’ and white elites’ centrality in contemporary racism; challenges to a racially pluralistic democracy; and group resistance to racism, especially that of the black ‘radical’ intellectual tradition,” they write in “Rethinking Racial Formation Theory: A Systemic Racism Critique.” Nonetheless, Omi and Winant’s contributions were critical in exposing the instability and sophism of racial categories, which, of course, continue to haunt us to this day. I don’t find the current mainstream discourse around Harris (and other mixed-race folx) useful — applying racial litmus tests and debating to what extent she and others like her qualify for certain groups and identities. But I do find conversations about my identity as a mixed-race person useful when it’s self-reflexive and when they help situate me in terms of intersectionality. For example, I’m interested in discussing how being half-white provided me with the cultural capital that helped me be admitted into and navigate the elite institutions I’ve attended for my undergraduate and graduate studies, even as I’m read as brown. Being half-white has afforded me extraordinary privileges. But/and how much was my drive to attend such institutions born from a compensatory and perfectionist part, burdened by my own experiences with racism, that believes I am less-than because I am brown and that I must excel in order to be worthy?  My brother and I had many of the same socioeconomic privileges as my white cousins, for example, which my brown cousins have not had. Conversely, we were unable to visit South Africa, where my mother was primarily raised, and meet my family there until after 1994, because of apartheid and the enforced segregation. My white cousins were able to make that trip years before my brother and I were. The point is, it’s messy and complex and nuanced.  These are the kinds of mainstream conversations that I believe we should be having about Harris’ identity, through the prism of intersectionality — conversations that allow us to interrogate shifting power dynamics and the instability of racial categories. This, I believe, would serve us all well. But questioning whether Harris is Black enough or Indian enough is not in service of anything — except white supremacy."
9,Kamala Harris wasn’t taking any chances in her DNC speech — but that’s why it worked,Not Avaiable For MSNBC,2024-08-22 22:24:00,https://www.msnbc.com/opinion/msnbc-opinion/kamala-harris-acceptance-speech-dnc-democratic-convention-rcna167674,"The 2024 Democratic National Convention is over, and despite fears of intraparty fighting and violent clashes between police and protesters outside the United Center — this was not a replay of 1968. In fact, Lil Jon’s roll call cameo notwithstanding, it was about as basic as political conventions get. And that’s probably the best Democrats could hope for.  The crowd in Chicago’s United Center roared as Vice President Kamala Harris accepted the Democratic nomination for president. It’s a historic moment and one that clearly inspired a lot of emotion. The cameras found more than a few non-dry eyes in the house.  But like the convention itself, Harris’ speech was successful in large part because she played it kind of safe.  She wished her husband, “Dougie” Emhoff, a happy 10th anniversary. She told a compelling personal story about being a child of immigrants who traveled the world to work for the American dream — and succeeded. And she spoke about her distinguished career as a prosecutor who always showed up “for the people.” Then there was the Donald Trump part of the speech. Here, Harris hit the necessary notes — reminding voters that Trump “tried to throw away your votes” during his monthslong attempt to overturn the 2020 election, culminating in the Jan. 6 assault on the Capitol. And, oh yeah, that he’s been convicted of felonies and found liable for sexual abuse. (I know we’re almost a decade into the Trump era, but it still blows my mind how these brief nuggets of his recent bio are seen as little more than campaign talking points by much of the American electorate.) Harris also highlighted arguably Trump’s most important political victory — getting three justices onto the Supreme Court to overturn Roe v. Wade. Harris spoke of the consequences of Trump’s legacy, including “women miscarrying in a parking lot, getting sepsis, losing their ability to ever have children again, all because doctors are afraid of going to jail for caring for their patients.” And, in a callback to one of the most affecting segments of the DNC, Harris spoke of “children who have survived sexual assault, potentially forced to carry the pregnancy to term. This is what is happening in our country. Because of Donald Trump.”  Harris’ rhetorical assaults on Trump were absolutely the high point of the speech. She articulated the verifiable threats Trump poses to democracy, the global order and the rights of everyday Americans in succinct, pugnacious fashion.  When it came to policy specifics, it didn’t sound like much of a departure from Joe Biden’s agenda. There was lots of talk about “the middle class” and Trump’s tax cuts for billionaires.  But Harris was completely vague about building what she called an “opportunity economy” that, under her leadership, would bring together “labor and workers, small-business owners and entrepreneurs, and American companies.” How she’d bring together these often competing forces — and what “bringing together” even means — remains unexplained.  And on an evening dubbed by some social media smart alecks as “normie night” — the one night when less partisan people would likely be tuned in — the program was stuffed with police officers, ex-Republicans, moderates and foreign policy tough talk.  In this vein, Harris assured the normies that, unlike Trump, she would not abandon NATO and that “as commander in chief I will ensure America always has the strongest, most lethal fighting force in the world.” Republicans have for decades portrayed Democrats as lacking the killer instinct to deal with the worst actors on the international stage. This was Harris’ moment to let the undecideds know that she understands the threats posed by Iran and China, while adding that she wouldn’t be reckless and impulsive with that power — like Trump. Then came the Gaza part of the speech. The lack of a Palestinian American speaker or any representative from the Uncommitted delegation was the elephant in the room, and after a staunch defense of Israel’s right to defend itself and a condemnation of the terrorist organization Hamas, Harris spoke of the civilian suffering in Gaza. “What has happened in Gaza over the past 10 months is devastating. So many innocent lives lost. Desperate, hungry people fleeing for safety, over and over again. The scale of suffering is heartbreaking.” Again, when getting specific, it didn’t appear that Harris’ policy is any different from Biden’s: “President Biden and I are working to end this war such that Israel is secure, the hostages are released, the suffering in Gaza ends, and the Palestinian people can realize their right to dignity. Security. Freedom. And self-determination.”  Team Harris is most likely hoping that her stated commitments to work for a cease-fire and a Palestinian state — especially given the fact that her opponent openly uses the word “Palestinian” as an insult — will be enough to temporarily quell the dissatisfaction from the party’s progressive wing and get it out to vote in November. We will, fairly soon, find out. Over the course of four often long nights, Harris and Democrats made history this week. Along the way, America heard from Oprah, America’s new favorite high school football coach, Tim Walz, and the party’s rising stars, like Govs. Wes Moore and Josh Shapiro. But with Nov. 5 just 74 days away, there is very little room for error. And if the convention and Harris’ acceptance speech are indications, Democrats know full well they cannot afford to make any mistakes between now and the election."
