,Title,Edit_Date,Origal_Date,Link,Content
0,Trump again calls for flag-burning punishment: 'We'll make it constitutional',Not Avaiable For MSNBC,2024-08-27 08:35:00,https://www.msnbc.com/deadline-white-house/deadline-legal-blog/trump-flag-burning-first-amendment-supreme-court-rcna168381,"Donald Trump is still calling for a punishment that violates the Constitution: jailing people who burn the American flag. It’s been one of the Republican presidential nominee’s consistent proposals this election cycle. Trump just pushed the idea again Monday while speaking in Detroit to the National Guard Association of the United States. “You burn an American flag, you go to jail for one year,” the former president said, adding: “We gotta do it. ... They say, ‘Sir, that’s unconstitutional.’ We’ll make it constitutional.”  The “they” who said that’s unconstitutional was a Supreme Court majority that included conservative icon Antonin Scalia. That hasn’t stopped Trump from advocating the idea after protests outside the Israeli consulate during the Democratic National Convention in Chicago last week and in Washington, D.C., last month during Israeli Prime Minister Benjamin Netanyahu’s congressional address.    As for “mak[ing] it constitutional,” we were reminded last month how hard it is to amend the Constitution when President Joe Biden proposed an amendment in light of the Supreme Court’s immunity ruling in Trump v. United States. Of course, as we saw in the immunity case, an easier route to accomplish Republican legal goals is by going through the justices themselves — though there isn’t a flag-burning case before the high court currently presenting that opportunity. Subscribe to the Deadline: Legal Newsletter for updates and expert analysis on the top legal stories. The newsletter will return to its regular weekly schedule when the Supreme Court’s next term kicks off in October."
1,Republicans eye 'parallel' probe of Trump assassination attempt,Not Avaiable For MSNBC,2024-08-27 08:10:00,https://www.msnbc.com/rachel-maddow-show/maddowblog/republicans-eye-parallel-probe-trump-assassination-attempt-rcna168410,"On the surface, Republicans had reason to be pleased by the congressional response to the attempted assassination of Donald Trump. In the House, for example, both parties’ leaders quickly came to an agreement to create a bipartisan investigatory task force — featuring seven Republican and six Democratic lawmakers — and it was approved unanimously. What’s more, House Speaker Mike Johnson chose several far-right election deniers and conspiracy theorists to serve on the panel, which has wasted no time getting to work, despite the fact that Congress is on its summer break. Indeed, task force members have already traveled to the scene of the Pennsylvania shooting for a first-hand examination. And yet, some GOP members still aren’t pleased. Politico reported: “So myself and Cory Mills are leading a parallel investigation into what happened on J-13th and the assassination attempt,” Republican Rep. Eli Crane of Arizona said on a podcast last week, referring to the July 13 shooting. “And we’re doing that because, like many of your listeners, we don’t trust the federal government to actually do the job necessary.” Crane, incidentally, recently told a conservative media outlet, in reference to the shooting, “I don’t put it past some of the people in our government, their willingness to do anything to get rid of President Donald Trump.” Just so we’re all clear, the idea that House GOP leaders chose “serious” Republicans to serve on the task force is a difficult idea to take seriously. The speaker tapped Rep. Pat Fallon of Texas, for example, and he’s an election denier who voted against certifying the 2020 presidential race. Rep. Mark Green of Tennessee is also on the panel, despite being an election denier who voted against certifying the 2020 presidential race, and despite the fact that his right-wing background was so controversial in 2017 that the Senate wouldn’t confirm him when Trump nominated him to serve as secretary of the Army. The task force will be chaired by Republican Rep. Mike Kelly of Pennsylvania, who, in addition to being an election denier who voted against certifying the 2020 presidential race, is also up to his ears in the fake elector scandal; has accused Barack Obama of running a secret “shadow government”; and initially responded to the assassination attempt by describing it without evidence as an “attack from the left.” Perhaps most notable of all is Republican Rep. Clay Higgins of Louisiana — an election denier who’s also taken a leading role in concocting deeply weird conspiracy theories about the Jan. 6 attack, including bizarre allegations related to the FBI and “ghost buses.” As a recent New York Times report summarized, “Even by a conspiracy theorist’s standards, the wild claims made by Representative Clay Higgins, Republican of Louisiana, stand out.” Johnson, eyeing “serious” members, nevertheless tapped Higgins for the congressional investigation. And yet, Crane and Republican Rep. Cory Mills of Florida have apparently concluded that the task force’s GOP members aren’t quite unhinged enough, necessitating a “parallel” examination. As a result, the public should expect to eventually see two reports: one from a bipartisan task force led by far-right Republicans, and another from a partisan task force led by even-further-to-the-right Republicans. Watch this space. This post updates our related earlier coverage."
2,"Trump calls his former chief of staff a ‘terrible, stupid person’",Not Avaiable For MSNBC,2024-08-27 06:00:00,https://www.msnbc.com/rachel-maddow-show/maddowblog/trump-calls-former-chief-staff-terrible-stupid-person-rcna168369,"Donald Trump added to his unfortunate record of disparaging military service two weeks ago when the former president said the Presidential Medal of Freedom was “much better” than the Medal of Honor — comments the Veterans of Foreign Wars, among others, described as “asinine.” Former Trump chief of staff and retired Marine Gen. John Kelly, a fierce critic of his former boss, agreed. “The two awards cannot be compared in any way,” he told CNN. “Not even close.” A week later, the GOP presidential nominee returned fire. The New York Times reported: In case it weren’t quite enough that Trump referred to his own former White House chief of staff as “one of the dumbest people” he’s ever met, in the same interview, the Republican called Kelly a “lowlife” and a “terrible, stupid person.” With 10 weeks remaining before Election Day, Trump is directing some of his harshest criticisms at the retired Marine general he tapped to oversee the Department of Homeland Security and his own White House. Indeed, this latest offensive extends one of the strangest ongoing feuds in contemporary American politics. Circling back to our earlier coverage, it was just two months ago when Trump, unprompted, lashed out at Kelly as “dumb” and a “lost soul.” Months earlier, by way of his social media platform, the former president said his former chief of staff was “by far the dumbest of my Military people.” He added, in reference to Kelly, “He was incapable of doing a good job, it was too much for him, and I couldn’t stand the guy, so I fired him like a ‘dog.’ He had no heart or respect for people, so I hit him hard.” In a follow-up missive, Trump went on to say that Kelly is “a Lowlife with a very small brain and a very big mouth.” There was no great mystery as to the motivation for the offensive. After all, Kelly is the one who confirmed on the record that Trump really did denigrate American servicemembers as “suckers and losers.” “What can I add that has not already been said?” Kelly told CNN in October 2023. Referring to his former boss, Kelly added, “A person that thinks those who defend their country in uniform, or are shot down or seriously wounded in combat, or spend years being tortured as POWs are all ‘suckers’ because ‘there is nothing in it for them.’ A person that did not want to be seen in the presence of military amputees because ‘it doesn’t look good for me.’ A person who demonstrated open contempt for a Gold Star family — for all Gold Star families — on TV during the 2016 campaign, and rants that our most precious heroes who gave their lives in America’s defense are ‘losers’ and wouldn’t visit their graves in France. “A person who is not truthful regarding his position on the protection of unborn life, on women, on minorities, on evangelical Christians, on Jews, on working men and women,” Kelly continued. “A person that has no idea what America stands for and has no idea what America is all about. A person who cavalierly suggests that a selfless warrior who has served his country for 40 years in peacetime and war should lose his life for treason — in expectation that someone will take action. A person who admires autocrats and murderous dictators. A person that has nothing but contempt for our democratic institutions, our Constitution, and the rule of law. “There is nothing more that can be said,” Kelly concluded. “God help us.” Kelly has also accused Trump of “poisoning” people’s minds, having “serious character issues” and not being “a real man.” What’s more, Kelly told The New York Times in 2022 that Trump, during his presidency, told his chief of staff to use the Internal Revenue Service and the Justice Department to target his critics and perceived political foes. The Times’ report went on to note, “Mr. Kelly said he made clear to Mr. Trump that there were serious legal and ethical issues with what he wanted.” The then-president “regularly” made the demands anyway. I continue to believe the fact that the Republican nominee is publicly feuding with his own former DHS secretary and chief of staff should probably be a bigger deal in the 2024 campaign. This post updates our related earlier coverage."
3,Michigan sheriff reportedly faces a state investigation over Trump’s campaign event in Howell,Not Avaiable For MSNBC,2024-08-27 03:00:00,https://www.msnbc.com/the-reidout/reidout-blog/trump-howell-michigan-sheriff-mike-murphy-investigation-rcna168312,"A Michigan sheriff who hosted Donald Trump last week reportedly is facing an investigation over complaints that the event violated the state’s campaign finance law. Trump’s choice of Howell, Michigan, was controversial in and of itself, given that he was visiting shortly after white supremacists gathered there and celebrated him and Adolf Hitler. But the props at the Livingston County Sheriff’s Office event — including law enforcement officers and sheriff’s vehicles carefully staged in the background — were just as disturbing as the location. And they gave the impression that the sheriff’s office was endorsing the GOP presidential nominee, despite Sheriff Mike Murphy’s insistence beforehand that it would be a news conference and not a political event. On Thursday, the Detroit Metro Times reported that two complaints filed over the event have prompted the state’s Bureau of Elections to investigate whether Murphy violated the Michigan Campaign Finance Act. An attorney told local outlet MLive that the sheriff could potentially skirt legal trouble by allowing Democratic nominee Kamala Harris to speak in the same setting. And Murphy — who denied having committed any violation — told the outlet he would “extend her the same courtesy for sure.” Indeed, inviting Harris (no matter her response) may help the sheriff elude legal consequences, but it doesn’t address the ethical — and I’d argue moral — dilemma that his office has created. Nor does it address the legitimacy crisis that Murphy has unleashed. At last week’s event, Murphy’s officers stood behind Trump as he rambled and falsely accused Harris and the Democratic Party of letting crime run rampant, claims that don’t align with reality. So the essence of Trump’s speech wasn’t just a lie — it was a lie told by a criminal in his own right, one who has fomented an insurrection in which police officers were beaten, and who also has backed policing practices — such as stop and frisk — that have been used to prey upon Black and Latino people disproportionately. And yet members of the Livingston County Sheriff’s Office lent Trump their gravitas by literally backing him up as he told this lie. It begs the question: Why should the local residents trust these officers to protect their rights, if the department was so willing to let them be aligned with one of the most notorious lawbreakers in American history? Can a law enforcement officer legitimately claim to uphold the Constitution after appearing alongside a man who has proposed “termination” of some of it? To be sure, these aren’t merely questions for the Livingston County Sheriff’s Office; many other officers across the nation also have posed with Trump since his election loss in 2020. All of them seemingly without a care in the world for the grim message it sends to the residents they encounter daily — that they care about power and control more than law and order."
4,RFK Jr.'s endorsement of Donald Trump confirms what we've suspected all along,Not Avaiable For MSNBC,2024-08-26 13:50:00,https://www.msnbc.com/top-stories/latest/rfk-jr-donald-trump-endorsement-kennedy-conspiracy-rcna168287,"This is an adapted excerpt from the Aug. 25 episode of ""Inside with Jen Psaki."" Shunned by Democrats and estranged from his family, Robert F. Kennedy Jr. has long been desperate for validation. So desperate, in fact, that he has now joined forces with Donald Trump.  Of course, as the most prolific anti-vax conspiracy theorist in the country, Kennedy’s endorsement of Trump was a long time coming. Frankly, the two have a lot in common: Both have enormous egos that cloud their judgment, both rely on misinformation to prey on people’s fears, and both leverage their last name for their own self-interest. But for Kennedy, this endorsement also marks another act of rebellion against his family and the institutions they helped build. Although he shares the same name as his father, he could not be more different.  His dad — the original Robert Kennedy — was driven by a genuine concern for the health and welfare of the American people. He was a champion of the underprivileged and the vulnerable. He appealed to people’s better angels, not their worst instincts.  When it came to modern medicine, he said those with power and influence have a duty to aid the less fortunate. As Kennedy told a group of doctors in Indiana in 1968, “We have to recognize those of us who have the advantages that you have and that I have that we have an obligation of responsibility to those who do not.” In other words, Kennedy believed that it was not enough to merely ""do no harm"" — he felt strongly that people in a position to help others have an obligation to do so.   Needless to say, the apple has fallen pretty far from the tree. Kennedy has not only failed in his “obligation of responsibility,” he’s actually done the opposite. He’s used his privilege and his name to encourage the most vulnerable Americans to turn their backs on modern medicine. He’s used falsehoods to stoke widespread fear of even routine vaccines, including the vaccines that eradicated measles, mumps and polio. If Trump and Kennedy have their way, parents will once again have to worry that their kids could be susceptible to life-threatening diseases at school.   But here’s the thing: Kennedy is not only insulting his father’s legacy, he’s also trying to sabotage the party that his family has shaped and influenced for more than six decades. Remember, his endorsement comes just days after new reporting showed his candidacy was now costing Trump more votes than Vice President Kamala Harris. We also can’t forget that Kennedy’s political ambitions were, in part, financed by one of Trump’s biggest billionaire donors. By endorsing Trump, Kennedy is simply confirming what we suspected all along: that his goal is to be a spoiler for the Democratic ticket. And while we still don’t know what the real impact of this endorsement will be, we do know that the headlines shouldn’t read: “Kennedy endorses Trump.” They should read: “Dangerous conspiracy theorists join forces.”  Join Jen Psaki, Rachel Maddow and many others on Saturday, Sept. 7, in Brooklyn, New York, for “MSNBC Live: Democracy 2024,” a first-of-its-kind live event. You’ll get to see your favorite hosts in person and hear thought-provoking conversations about what matters most in the final weeks of an unprecedented election cycle. Buy tickets here."
5,How racism claims play into Trump's Georgia criminal case appeal,Not Avaiable For MSNBC,2024-08-26 13:00:00,https://www.msnbc.com/deadline-white-house/deadline-legal-blog/trump-fani-willis-racism-georgia-election-case-rcna168265,"The issue of race permeates Donald Trump’s Georgia state election interference case brought by Fulton County District Attorney Fani Willis. Trump’s latest court filing in a pretrial appeal seeking Willis’ disqualification reminds us that it surfaces in a legal claim, specifically.    At least, the former president — who has harnessed racism for his political ends — wants it to be an issue that kicks Willis off the case or even gets it dismissed.  Recall that, back in March, Judge Scott McAfee declined to force Willis’ removal. The defense had alleged a conflict of interest stemming from her romantic relationship with special prosecutor Nathan Wade. McAfee didn’t find an actual conflict but said the appearance of impropriety required Willis or Wade to step down, and the latter did.  Responding to a separate defense claim, relevant to Trump’s new court filing on Monday, McAfee criticized a speech that Willis gave at an Atlanta church whose effect, the judge wrote in his March ruling, “was to cast racial aspersions at an indicted Defendant’s decision to file this pretrial motion.” Yet the trial judge concluded that Willis didn’t cross the line to the point of denying a fair trial or requiring her disqualification. The state criminal case, in which Trump has pleaded not guilty, has been on hold pending the appeal, where this issue is the focus of the GOP presidential nominee’s latest filing to Georgia’s state appeals court. “Willis falsely declared that allegations against her stemmed from racism to hide the fact that they were true,” his lawyers wrote of the prosecutor, who is Black. She “obviously intended that every potential Fulton County juror who heard or read Willis’ racist speech should label the defendants as racists,” the lawyers added. While McAfee criticized Willis in his ruling, Trump’s lawyers argued in their appellate filing that “the mere verbal rebuke of Willis by the trial judge was utterly insufficient — it demanded disqualification.” In rejecting the defense claim, McAfee wrote that Georgia law on so-called forensic misconduct is unclear in terms of the relevant standard for determining disqualification. That could make it more of an open question how the courts resolve the appeal, which has been set for oral argument in December. If Willis and her office are disqualified, that would raise questions of when or even whether the case could go forward with a new prosecutor’s office. Defending McAfee’s bottom line in keeping her on the case, Willis’ office wrote earlier this month that the judge didn’t abuse his discretion “in finding that none of the District Attorney’s statements were capable of permanently impairing the fundamental fairness of any future trial and that, as a result, disqualification was not appropriate.” To be sure, this disqualification issue is separate from the underlying substance of the case, in which Trump and others were charged a year ago for their alleged attempts to subvert the 2020 presidential election in the state. And there are other issues to resolve before the case can proceed to trial, including the effect of the Supreme Court’s July 1 immunity ruling. If Trump is elected in November, more attention may be drawn to his state criminal cases, which presidents don’t have the power to pardon or dismiss, as Trump’s lawyers try to overturn his New York state guilty verdicts based on the immunity ruling. But whether Trump wins or loses in November, the fate of the Georgia case may not become clear for some time. Subscribe to the Deadline: Legal Newsletter for updates and expert analysis on the top legal stories. The newsletter will return to its regular weekly schedule when the Supreme Court’s next term kicks off in October."
6,"Trump howls as Harris, Dems turn him into the 2024 incumbent",Not Avaiable For MSNBC,2024-08-26 11:36:00,https://www.msnbc.com/rachel-maddow-show/maddowblog/trump-howls-harris-dems-turn-2024-incumbent-rcna168276,"During the Democratic National Convention, Vice President Kamala Harris and her supporters didn’t literally describe Donald Trump as an incumbent, but it was a message the party was eager to convey. Over the weekend, the former president added text to the subtext. “Kamala and her ‘handlers’ are trying to make it sound like I am the Incumbent President,” the Republican whined early Saturday at 1:15 a.m. He’s not the only one who’s noticed. TPM’s Josh Marshall summarized: I can appreciate why this is exasperating to the GOP nominee and his supporters. Harris is, after all, the incumbent vice president. She’s also the candidate offering American voters a breath of fresh air and a “new way forward,” as the Democrat put it in her convention speech. To a very real degree, Trump brought this on himself, pretending he won the 2020 race, asking that he be described as “Mr. President,” meeting with foreign officials as a matter of course, banishing the word “former” from his title, etc. But there’s more to it than that. As Off Message’s Brian Beutler noted in his latest column: Quite right. Trump grudgingly exited the White House in January 2021, but in the months and years that followed, he not only retook control of his political party, he also remained a dominant voice in the American discourse, en route to cruising through GOP primaries and caucuses, becoming his party’s presidential nominee for the third consecutive cycle. As a legal and official matter, the Republican has no more authority than you or I. He can’t sign or veto bills. He can’t issue executive orders. He is a private citizen with no powers to speak of. But it’s hardly unreasonable to conclude that we’re mired in the Trump era of American politics. And that, in turn, is precisely why Harris has an advantage as the candidate of change. The message to the electorate couldn’t be more straightforward: 2024 offers a unique opportunity to bring the Trump era to an end and usher in something new."
7,Jack Smith reportedly won’t seek a ‘mini-trial’ in Trump’s Jan. 6 case,Not Avaiable For MSNBC,2024-08-26 10:49:00,https://www.msnbc.com/deadline-white-house/deadline-legal-blog/jack-smith-mini-trial-trump-jan-6-election-interference-rcna168195,"Special counsel Jack Smith reportedly isn’t planning on seeking a so-called mini-trial in Donald Trump’s federal election interference case before the November election. I’ll explain what that means and why that isn’t the crucial issue in the broader context of the prosecution and Trump’s criminal cases generally. The context that prompted speculation about such a hearing is the Supreme Court’s July 1 ruling in Trump v. United States, which laid out a vague test for presidential immunity that now falls to U.S. District Judge Tanya Chutkan to apply, to see how much of Trump’s indictment survives the high court’s ruling (an issue that may well return to the justices for review of her decision before any trial can happen). The question is how Chutkan will seek to accomplish that complex task: With just written briefs? With briefs followed by an expansive hearing featuring witness testimony? It’s not clear yet. The parties have a joint status report due to Chutkan on Friday about how they want to proceed, after Smith notably requested more time to finalize the government’s position, with Trump’s team unsurprisingly agreeing to the further delay. Ahead of that status report coming due, Bloomberg News reported Friday that Smith “has decided against seeking a major hearing to present evidence in the election-interference case against Donald Trump before voters go to the polls,” and The New York Times similarly reported that federal prosecutors “now appear unlikely to seek a broad public airing of their evidence in a courtroom before Election Day.” The reports, which cited people familiar with the matter, have not been independently confirmed by NBC News or MSNBC. But if true, this news isn’t too surprising. After the immunity ruling, it became even clearer that no Jan. 6 trial was going to happen before the election. As shown most recently by Smith requesting more time to determine his position on how to proceed, the government seems to understand that there’s no use in rushing now. So what’s the public missing out on if there isn’t such a hearing before the election? One answer seems to be that voters could learn even more about Trump’s actions after the 2020 presidential election that led to the indictment. (He has pleaded not guilty.) But Jan. 6 isn’t a whodunit. Whatever happens in this criminal case, Trump’s behavior that day is well documented and has been broadcast for all to understand. A federal court hearing (which wouldn’t be televised, by the way) could add more details, but anyone inclined to pay attention has long had abundant information available to them that should make the matter clear for electoral purposes, one way or the other. Perhaps it would be worse politically for Trump if, in the days leading up to the November election, there were additional daily reports of his antidemocratic behavior on this score. But that political issue isn’t the issue in court. The bigger legal issue is that if Trump wins the election, then his federal cases are as good as gone. (Smith is separately appealing U.S. District Judge Aileen Cannon’s dismissal of the former president’s federal classified documents case, to which Trump has also pleaded not guilty, with Smith’s appellate brief due Tuesday.) Voters are free to consider that electing Trump again would mean that he’d never face federal criminal trials for Jan. 6 or his allegedly unlawful retention of classified documents and obstruction. (With state cases, presidents can’t dismiss them or issue pardons; Trump’s lawyers are arguing that the immunity ruling should cause his New York guilty verdicts to be reversed, while his Georgia state case, in which he has pleaded not guilty, is tied up on a pretrial appeal unrelated to immunity.) And the immunity ruling isn’t the only recent high court decision implicating how Trump’s case in Washington moves forward. Another one that Trump’s lawyers will press is Fischer v. United States, in which the court narrowed obstruction charges for Jan. 6 defendants. Two of Trump’s four charges in his Jan. 6 indictment are obstruction-related, so even if the Fischer case doesn’t upend Trump’s prosecution to the extent that the immunity decision has and will, it’s yet another issue potentially complicating the case. Again, the case becomes uncomplicated if Trump wins the election, because he’d then be empowered to get rid of the case. In the meantime, of course, it isn’t fully up to Smith or Trump how the case proceeds. It’s up to the judge. We should learn more about where the case is headed when we see the report on Friday, with a status conference set for next week, on Sept. 5, that could shed more light on what’s next. Subscribe to the Deadline: Legal Newsletter for updates and expert analysis on the top legal stories. The newsletter will return to its regular weekly schedule when the Supreme Court’s next term kicks off in October."
8,Shouldn’t Trump release his latest tax returns right about now?,Not Avaiable For MSNBC,2024-08-26 06:37:00,https://www.msnbc.com/rachel-maddow-show/maddowblog/shouldnt-trump-release-latest-tax-returns-right-now-rcna168192,"Donald Trump’s history of unfortunate money-making schemes took an unsettling turn in March when the former president started peddling the “God Bless the U.S.A. Bible,” offering customers an opportunity to get “the only Bible endorsed by President Trump” for just $59.99. It was a predictably successful venture: The cash-strapped Republican made $300,000 on the branded Bibles. We know this because of a personal financial disclosure form Team Trump released nearly two weeks ago. A CNN report on the documents added: All of which left us with a lingering question that regularly goes unasked: Shouldn’t Trump release his latest tax returns right about now? To be sure, I’m mindful of the larger circumstances. In May 2014 — more than a full decade ago — Trump promised to release his tax returns if he became a candidate. “If I decide to run for office, I’ll produce my tax returns, absolutely,” the Republican said the year before his ride down the golden escalator. “And I would love to do that.” In the years that followed, Trump ignored the modern bipartisan tradition, kept his tax returns hidden, broke a variety of promises related to transparency, and fought tooth and nail to keep the information from the public. Eventually, in the wake of leaks and court rulings, Americans learned details that were unflattering to the former president. But now that he’s running yet again, and Trump is the GOP’s nominee for the third consecutive cycle, shouldn’t the question return to the fore? Shouldn’t the Republican candidate at least face some questions about whether he’ll release his tax returns — even if we know the answer will be no? Often, questions we know the answers to go unasked, but that doesn’t mean the questions themselves lack merit. To simply not ask Trump about his recent tax returns — putting him to peddle yet another round of dubious claims about IRS audits that are probably imaginary — is to go easy on a major-party nominee for no reason. Indeed, the partisan asymmetry matters. On July 21, President Joe Biden announced that he would end his re-election campaign, and one week later, Vice President Kamala Harris released her tax returns from the previous 20 years. Trump could approach transparency the same way. On several occasions, he has said he would. So where are the documents? Why would he insist on secrecy for his tax returns from the last few years?"
9,Democrats found a perfect response to Trump's vision of patriotism,Not Avaiable For MSNBC,2024-08-26 03:00:00,https://www.msnbc.com/opinion/msnbc-opinion/kamala-harris-democrats-patriotism-trump-rcna167961,"If you listen to many longtime observers, this year’s Democratic National Convention offered up something different from previous incarnations: an emphasis on striking a patriotic stance. From Vice President Kamala Harris praising “the greatest privilege on Earth: the privilege and pride of being an American” in her acceptance speech down to the attendees waving little flags in the audience, Democrats put their love of country front and center. But was this that much of a departure from the past? Osita Nwanevu, a contributing editor for The New Republic and columnist with The Guardian, wasn’t so sure Friday. “Which Democratic nominee didn’t ‘embrace patriotism?’” he asked in a now-deleted post on X. “Biden? Obama? Clinton?” Nwanevu is right that there wasn’t a time when Democrats explicitly rejected patriotism. What we saw last week, though, was a shift in tone and rhetoric, as Democrats filled the gap Republicans left wide open to define what “patriotism” means. Rather than mimic the GOP to insist that they are also patriots, for the first time in decades the DNC’s attendees instead declared with their whole chests that theirs is the party of real patriots. For longer than I’ve been alive, Republicans have been more than happy to accuse anyone to the left of former President Ronald Reagan of harboring anti-American sentiments. The terrorist attacks of Sept. 11, 2001, accelerated that trend as, in the aftermath, conservatives called forth a wave of jingoism and xenophobia that they insisted was the only way to love America. The PATRIOT Act authorized vast powers for the federal government to curtail Americans’ privacy and freedom of speech. President George W. Bush’s warning to other nations — “Either you are with us, or you are with the terrorists” — was turned inward toward any liberals who might speak out against invading Iraq. Many Democrats, terrified of accusations of not respecting the troops or being soft on terror, embarrassed themselves in their attempts to prove their own love of country. It’s impossible to defend how then-Sen. John Kerry, D-Mass., began his acceptance speech at the 2004 DNC without cringing. (“John Kerry, reporting for duty,” he said with a crisp salute, despite having left the military more than 30 years earlier.) In the Obama era, the tea party movement’s thinly veiled racism was initially framed as a rejection of tyranny, drawing on symbols from the American Revolution, and “patriots” became a word associated with a certain brand of conservative. Ever focused on branding, former President Donald Trump claimed that visual vocabulary for his own, entwining his MAGA movement with the trappings of the banal, surface-level patriotism that Republicans had already embraced. But while he has embraced the American flag, sometimes literally, he has denigrated the highest ideals that that flag represents. Instead, Trump has called for the “termination” of the Constitution, and he has already attempted to overturning one presidential election. Trump has called the rioters who attempted to prevent his loss from becoming official on Jan. 6, 2021, “patriots” and just announced a fundraiser in their honor next month. Republicans, with very few exceptions, have backed his dystopian desire to substitute himself in place of devotion to the national interest. Despite that, as The Washington Post’s Philip Bump noted, voters are still more likely to view the GOP as the more patriotic party. Polling has somewhat borne that out in the past. A YouGov poll in 2018 found that Democrats were much less likely to call themselves “very” or even “somewhat” patriotic than their Republican counterparts. It’s worth noting that this was during the height of the Trump years, a time when Democrats had their faith in America deeply shaken. It’s a faith that has yet to recover, though, according to a survey Gallup conducted in June, which found only 34% of Democrats describe themselves as “extremely proud” to be an American. And yet the flag-waving and chants of “U-S-A” last week in Chicago would suggest otherwise. It instead speaks to an effort at redefining what love of country means along with reclaiming the concept of “freedom.” Democrats are celebrating the country’s diversity as a sign of national greatness — as opposed to the GOP’s picture of a nation of homogeneous, unwavering loyalty. This vision expands on President Joe Biden’s framing of the threat to democracy, broadening from a single man to the GOP’s fetish for that man. In setting out this new vision of patriotism, Democrats should remember that there must be room for loving criticism. In her opening essay for “The 1619 Project,” The New York Times’ Nikole Hannah-Jones wrote about how Black Americans have always been among the most patriotic citizens. This is because despite the indignities we have suffered, we’ve been the ones most committed to seeing America embrace the better angels of its nature. The same can be said of the protesters gathered outside the arena each day and night to urge the Biden administration to halt the sale of arms to Israel as it continues its war in Gaza. The progressivism Democrats displayed last week can make an awkward fit with the conservative-coded aspects of patriotism, as The Philadelphia Inquirer’s Will Bunch rightly noted. But I would still argue that the two are more in sync than it would first appear. After all, it is an act of love of country to ask it to live up to its own ideals, to believe that it can still change for the better. The wish to see your home hold itself to the morals that it claims to represent is more patriotic than the desire to see one man ensconced as monarch in the White House."
