,Title,Edit_Date,Origal_Date,Link,Content
0,Kamala Harris practically dares Trump to debate her,Not Avaiable For MSNBC,2024-07-31 12:56:00,https://www.msnbc.com/top-stories/latest/kamala-harris-trump-debate-september-rcna164521,"Kamala Harris, the de facto Democratic presidential nominee, once again challenged Donald Trump to debate her, telling a roaring crowd in Atlanta on Tuesday night that he was feeling the pressure of running against her in November. ""So the momentum in this race is shifting, and there are signs that Donald Trump is feeling it — you may have noticed,"" the vice president said at a campaign rally, as she pointed to Trump's refusal to commit to a debate in September. “He won’t debate, but he and his running mate sure seem to have a lot to say about me.” “Well, Donald, I do hope you’ll reconsider to meet me on the debate stage,” Harris said. “Because as the saying goes, 'if you’ve got something to say, say it to my face.'” Harris' remarks seem designed to taunt Trump into debating her. The vice president has been engaged in a back-and-forth with the Trump campaign as it dithers the GOP nominee's participation in a previously agreed-upon Sept. 10 debate, which it arranged with Joe Biden's re-election campaign before he withdrew from the race. On Thursday, Harris accused the Trump campaign of “backpedaling” on the scheduled debate, saying, “I think that the voters deserve to see the split screen that exists in this race on a debate stage.” Trump's campaign spokesperson, Steven Cheung, later said it “would be inappropriate to schedule things with Harris because Democrats very well could still change their minds.” The calculations for the Trump campaign have shifted dramatically since Biden dropped out of the race and endorsed Harris. Trump had previously challenged Biden to debate “anytime, anywhere, any place,” and the fallout of Biden’s disastrous showing at the June 27 debate also overshadowed his own blathering performance. Now, as his campaign tries to reorient its strategy for Harris, Trump, whose debate style is rich on insults and poor on substance, now faces the daunting prospect of taking on a former prosecutor known for her debate punches on live television. In an interview with Fox News this week, Trump himself waffled on the subject. He suggested there was no point debating Harris because “everybody knows who I am, and now people know who she is.” He then said he would “probably” debate Harris, but added that he “can also make a case for not doing it.”"
1,Harris' historic campaign builds on breakthroughs by other Black women,Not Avaiable For MSNBC,2024-07-31 12:15:00,https://www.msnbc.com/top-stories/latest/harris-historic-moseley-braun-2024-rcna164343,"This is an adapted excerpt from the July 29 episode of ""The Beat."" It was a whirlwind first week for Vice President Kamala Harris’ historic presidential campaign. The Guardian described her candidacy as a generational shift in U.S. politics.  Harris, of course, is no stranger to breaking barriers — she’s serving as the first woman vice president in our country’s history — but she's drawn from a range of trailblazers who laid the groundwork for this moment.  Geraldine Ferraro, a Democrat, became the first female vice presidential candidate on a major U.S. party ticket in 1984. There's also former Alaska Gov. Sarah Palin, the Republican Party's first female candidate for vice president. In 2016, Hillary Clinton shattered the glass ceiling when she won the Democratic presidential nomination. Shirley Chisholm was both the first Black woman elected to Congress and the first to run for president. Chisholm pushed her party, which has since come to rely heavily on Black voters, to take Black leadership seriously. Before ascending to the highest echelon of the Democratic Party, Harris was the only Black woman in the Senate. There was only one Black female senator who served before her. That senator was Sen. Carol Moseley Braun of Illinois, sworn into the Senate in 1993. Moseley Braun, who ran on a platform of women’s and civil rights, immediately challenged the status quo in Washington. In her first year in office, she defiantly took to the Senate floor to protest the renewal of a congressional patent for the United Daughters of the Confederacy, whose insignia featured the Confederate flag. “I’ve got to tell you, this vote is about race. It is about racial symbolism. … It is about our racial past and the single most painful episode in American history,” Moseley Braun told her colleagues.  Moseley Braun also challenged sexism in the Senate. She was among the first to buck the unofficial ban on women wearing pants on the Senate floor. Moseley Braun wore them repeatedly until the rule was changed. The feminist publication Ms. described that action as a “rebellion” and “a seismographic event.” On Monday’s episode of “The Beat,” I spoke with the former senator about Harris’ historic candidacy. Moseley Braun told me she was “over the moon” and “strongly supporting” the vice president. She also pledged to do everything in her power to help Harris make history yet again: “We have 98 more days to the election itself. We all have to show up and be there for her, take advantage and not let this enthusiasm dwindle. People have short memories sometimes. But if we can keep the drumbeat going, we can have our first woman president.”  Join Ari Melber, Rachel Maddow and many others on Saturday, Sept. 7, in Brooklyn, New York, for “MSNBC Live: Democracy 2024,” a first-of-its-kind live event. You’ll get to see your favorite hosts in person and hear thought-provoking conversations about what matters most in the final weeks of an unprecedented election cycle. Buy tickets here."
2,"Trump pushes his luck with new attack on Harris, China and Russia",Not Avaiable For MSNBC,2024-07-31 07:49:00,https://www.msnbc.com/rachel-maddow-show/maddowblog/trump-pushes-luck-new-attack-harris-china-russia-election-2024-rcna164482,"In her first week as an unexpected presidential candidate, Vice President Kamala Harris confronted plenty of racist and sexist lines of attack, but as a Washington Post report makes clear, Donald Trump added to this record in an especially ugly way in his latest Fox News interview. Fox News’ Laura Ingraham started to ask the GOP candidate how international leaders would consider a Harris presidency, but before she could even finish asking, Trump interjected. “They’ll walk all over her,” the former president said, adding, “She’ll be so easy for them. She’ll be like a play toy. They look at her and they say, ‘We can’t believe we got so lucky.’” Trump then appeared to turn toward the camera and said, “And I don’t want to say as to why, but a lot of people understand it.” A Trump campaign spokesperson told the Post the Republican nominee wasn’t referring to race or gender, and if you believe that, I have a lovely Trump University seminar I’d love to sell you. The obvious problem with the former president’s comments was that they were overtly offensive in ways even he should be able to understand. But there are plenty of less obvious problems, too. For one thing, Harris has spent the last four years in national office, meeting with international officials and leaving no doubt that she’s a force to be reckoned with. For another, if Trump is so convinced that international leaders will walk all over the Democrat, perhaps he could explain why he’s so afraid to share a debate stage with her. But perhaps most important is the degree to which Trump keeps failing tests of self-awareness. Indeed, if he’s looking for an American leader who wasn’t taken seriously abroad, Trump probably ought to find a mirror. In 2018, for example, he addressed the United Nations general assembly, where foreign diplomats literally laughed at him. China’s state-run media routinely characterized Trump — during his presidency — as a bumbling fool who had a habit of slapping himself in the face. Even U.S. allies quietly conceded that they perceived the then-president as an intemperate child with a short attention span. Let's also not forget about a 2019 international gathering in which Canadian Prime Minister Justin Trudeau, French President Emmanuel Macron, and the U.K.'s Boris Johnson were overheard mocking Trump, treating him like a punch-line to a joke they found rather exasperating. Russia’s Vladimir Putin was more reluctant to ridicule Trump in public, but that’s only because he enjoyed walking all over the Republican and didn’t feel the need to put that advantage at risk. All of which is to say, Trump’s latest line of attack isn’t just ugly, and it isn’t just wrong. It’s also the latest example of the former president engaging in projection."
3,"The problem(s) with Trump’s ugly rhetoric about Harris, antisemitism",Not Avaiable For MSNBC,2024-07-31 06:00:00,https://www.msnbc.com/rachel-maddow-show/maddowblog/problems-trumps-ugly-rhetoric-harris-antisemitism-jewish-election-2024-rcna164448,"Donald Trump seems determined to convince voters that Vice President Kamala Harris is antisemitic. She’s not, and the former president’s attacks are as ugly as they are false, but the Republican appears preoccupied with pushing this line anyway. During a speech last week, for example, the GOP nominee falsely said his likely Democratic rival is “totally against the Jewish people” — a curious claim about someone who’s married to a Jewish person — and as the Associated Press reported, Trump went even further yesterday. The former president seemed quite worked up on the issue, ranting that Harris dislikes both Israel and Jews — it’s something “everybody knows,” Trump said, reality notwithstanding — while adding that Jewish voters are “fools” to vote Democratic. The radio host, Sid Rosenberg, proceeded to say that Harris’ Jewish husband, second gentleman Doug Emhoff, is “a crappy Jew” and “a horrible Jew.” And while Trump didn’t use those words himself, as an audio clip makes clear, he seemed to agree with the condemnations. A Politico report described the comments as ""bizarre."" A press statement from the Harris campaign, not surprisingly, went much further, describing the on-air exchange as “disgusting” and adding, “America is better than the fear, hate, and despicable insults of Donald Trump.” At this point, we could spend a few paragraphs talking about how wrong the Republican’s attack is. We could also highlight the fact that Trump hasn’t even tried to substantiate his absurdities with evidence. But as important as those points are, I’m struck by a larger point: Trump apparently believes he has credibility when it comes to antisemitism, but he really doesn’t. As regular readers might recall, it was just four months ago, for example, when the GOP nominee invoked a familiar dual loyalty trope by claiming that Jewish voters who support Democrats hate Israel. To put it mildly, Jewish Democrats in Congress were not impressed. An Axios report quoted Rep. Debbie Wasserman Schultz of Florida, for example, saying, “Trump demonstrates daily his lack of fitness for the presidency by spreading dangerous stereotypes and embracing antisemites.” Rep. Kathy Manning of North Carolina added that the former president’s rhetoric is “particularly disgraceful and dangerous at a time when Jews are facing dangerous levels of antisemitism nationwide.” Rep. Jamie Raskin of Maryland issued an especially pointed response, noting, “Luckily I don’t know any Jews who look to Donald Trump for advice on how to be Jewish. After all, this is the guy who saw ‘very fine people on both sides’ of an antisemitic riot and entertained the neo-Nazi Holocaust denier Nick Fuentes over at his house at Mar-a-Lago for dinner.” That larger pattern was of particular interest. During his 2016 campaign, for example, Trump spoke to the Republican Jewish Coalition and said, “You’re not gonna support me because I don’t want your money. You want to control your politicians.” He added, “I’m a negotiator — like you folks.” Several months later, in the run-up to Election Day 2016, the Republican promoted antisemitic imagery through social media. In the closing days of the campaign, Trump again faced accusations of antisemitism, claiming Hillary Clinton met “in secret with international banks to plot the destruction of U.S. sovereignty in order to enrich these global financial powers.” While in office, the then-president used some highly provocative rhetoric about Jews and what he expected about their “loyalties.” Trump also spoke at the Israeli American Council’s national summit, where he suggested Jewish people are primarily focused on wealth, which is why he expected them to support his re-election campaign. There was also his ugly reaction to a racist event in Charlottesville in 2017, in response to torch-wielding bigots chanting, “Jews will not replace us.” After his defeat, Trump kept this going, whining that Jewish voters “don’t love Israel enough,” dining with prominent antisemites at Mar-a-Lago and arguing that Jews need to “get their act together” and “appreciate” Israel “before it is too late.” In late 2022, the former president went so far as to declare that Jewish leaders “should be ashamed of themselves” over their “lack of loyalty.” Around the same time, he added to the list, using related rhetoric about Jews with a documentary filmmaker. In his earlier campaigns, Trump has struggled badly with Jewish voters. If he thinks lying about Harris will change that, the Republican probably ought to lower his expectations. This post updates our related earlier coverage."
4,Beyoncé's 'Freedom' becomes the soundtrack to Kamala Harris' historic campaign,Not Avaiable For MSNBC,2024-07-25 09:41:00,https://www.msnbc.com/top-stories/latest/beyonce-kamala-harris-campaign-freedom-rcna163599,"In the days since Vice President Kamala Harris launched her bid for president, Beyoncé’s song “Freedom” has become the soundtrack to her campaign. Harris walked out to the song at her first visit to her campaign headquarters in Wilmington, Delaware, on Monday. It played the next day at her first campaign rally in Wisconsin. On Thursday, the campaign released its first ad, which again featured the song. The video contrasts Donald Trump's vision for the country with hers, with Harris saying in a voiceover: “There are some people who think that we should be a country of chaos, of fear, of hate. But us? We choose something different: We choose freedom.” Beyoncé’s “Freedom,” which features rapper Kendrick Lamar, was released in 2016 as part of her visual album “Lemonade.” Rolling Stone called the song at the time “one of the most striking political statements” of Beyoncé’s career. Although the Grammy Award-winning artist has not officially endorsed any candidate in this year's race, she did grant Harris’ campaign permission to use the song through the next few months of the election, CNN reported on Monday. (That Harris is using the music with the artist's permission also stands in stark contrast to Trump, who's been asked not to play songs by the Rolling Stones, R.E.M., Prince, Neil Young, Rihanna, Guns N' Roses, Queen and Adele — among others.) Harris is a known Beyoncé fan. She and her husband, Doug Emhoff, went to the singer’s Renaissance World Tour concert in Maryland last August. The tickets, valued at $1,655.92, were a gift from Beyoncé, according to Harris’ financial disclosure report earlier this year. Beyoncé has a history of supporting Democratic candidates. She sang the National Anthem at President Barack Obama's 2013 inauguration and performed at a concert for Hillary Clinton's 2016 campaign alongside her husband, Jay-Z — much to Donald Trump's consternation, even years later. Beyoncé also endorsed the Biden-Harris ticket in 2020."
5,"Trump says Harris shouldn’t be ‘allowed to run,’ recycling weird claim",Not Avaiable For MSNBC,2024-07-25 06:00:00,https://www.msnbc.com/rachel-maddow-show/maddowblog/trump-says-harris-shouldnt-allowed-run-recycling-weird-claim-rcna163593,"In his first rally since President Joe Biden withdrew from the 2024 race, Donald Trump did exactly what everyone expected him to do: The Republican spent much of the event going after Vice President Kamala Harris. The former president’s case against his new rival, however, has tended to rely heavily on vague name-calling: Trump called the likely Democratic nominee a “lunatic,” for example. But during his pitch in North Carolina, one the GOP nominee’s lines of attack stood out: The Republican’s followers, naturally, cheered the rhetoric. There is a degree of irony to the comments: A jury recently found Trump guilty of nearly three dozen felonies. If Harris “shouldn’t even be allowed to run for president” because “she’s committing crimes,” then I supposed we should look forward to the former president delivering a withdrawal speech of his own. What’s more, insisting that the Democratic vice president is “committing crimes” would be less ridiculous if Trump had any evidence of Harris, you know, actually committing crimes. But of particular interest was the GOP candidate’s suggestion that his likely Democratic rival “shouldn’t even be allowed to run” for the White House. If the comment rang a bell, there’s a good reason for that: Part of the problem here is that the Republican nominee is getting lazy, recycling stale insults, nicknames and attacks. But just as notable is the fact that Trump has long taken a keen interest in who should and shouldn’t be “allowed” to run against him, and in a remarkable coincidence, he consistently argues that those who stand in his way are — or should be — ineligible for American ballots. Trump already earned a reputation as someone who was hostile toward democracy. This won’t help. This post updates our related earlier coverage."
6,Trump voters fear 'excitement' of Harris campaign,Not Avaiable For MSNBC,2024-07-25 03:00:00,https://www.msnbc.com/top-stories/latest/wisconsin-voters-swing-state-trump-harris-2024-rcna163528,"On Tuesday, Elise Jordan, an MSNBC political analyst and former George W. Bush administration staffer, sat down with voters in the battleground state of Wisconsin. The Badger State has played a pivotal role in deciding the last two presidential elections. In 2016, Donald Trump became the first Republican to win Wisconsin since 1984, defeating Hillary Clinton by almost 23,000 votes. In 2020, Joe Biden turned the state back to blue, beating Trump by a similar margin. Ahead of the 2024 election, Jordan spoke with two voting blocs that could help move the margin in either candidate's direction: female Trump supporters and right-leaning swing voters. Jordan, who was just in Wisconsin last month conducting similar focus groups, said she was shocked at the burst of energy Vice President Kamala Harris' candidacy had injected into the race — among both Trump supporters and swing voters. The group of Trump supporters told Jordan they feared the Democratic ticket shake-up could lower Trump’s chances of retaking the White House, since they believe Harris could motivate young, minority and female voters to head to the polls. “Everyone is excited about her, and that scares me,"" one voter shared. Asked how they view Harris’ competence and experience compared to Biden, voters said they saw the vice president as worse. One woman called out Harris for her role in the administration's immigration policy: ""She doesn't even know what's going on at the border, and that's what she was supposed to be in charge of? I mean, as a schoolteacher, if I didn't do what I was supposed to be doing, you better believe my job would be in jeopardy."" Another voter took aim at Harris' intelligence, calling her an ""idiot"" and ""not real smart."" The voters also expressed doubt over the possible election outcome. Asked whether a Harris victory in November would be an ""honest result,"" the entire group shook their heads at Jordan. As for right-leaning swing voters, the group said they had concerns about both Harris and Trump. One voter told Jordan she was open to voting for Harris but felt ""uneasy"" over how much the vice president may have known about Biden's mental and physical fitness. She said if Harris was ""willing to hide that type of information"" about Biden, ""what she’s willing to hide for herself?” As for their views of the former president, a voter told Jordan she couldn't ignore Trump's criminal convictions. She also had issues with his integrity and moral character, suggesting Trump could use the office to ""retaliate"" against his enemies. Another voter voiced shared concern over Trump’s “making too aggressive of choices” and acting out of impulse. However, she also worried Harris could be too cautious in responding to threats and make the U.S. appear ""weak."" One swing voter had a message for both candidates: “It would just be nice if they concentrate more on the issues instead of the mudslinging and personal attacks. ... Let’s try to find that common ground where we can agree on things. Let’s start with that.”"
7,The Secret Service failed Trump. They can’t fail Harris too.,Not Avaiable For MSNBC,2024-07-24 14:57:00,https://www.msnbc.com/top-stories/latest/secret-service-president-assassination-trump-harris-rcna163421,"This is an adapted excerpt from the July 23 episode of ""The Last Word."" With just over 100 days until Election Day, Vice President Kamala Harris spent her first day as the presumptive nominee for president of the Democratic Party on the campaign trail in the crucial electoral college state of Wisconsin. Harris’ Secret Service detail, which was already very strong, should now be strengthened  — not just because she has moved up from vice presidential nominee to presidential nominee, but because we have seen recent proof of Secret Service protection not being strong enough. The director of the Secret Service resigned Tuesday after being sharply questioned by both Democrats and Republicans in a congressional hearing about how a lone gunman was allowed to get on a roof within range of a presidential candidate and fire shots that could have killed the candidate and did kill one of the spectators and wounded two others. That is the first time in history that a Secret Service director has resigned after shots were fired, even though every single time shots have been fired at a president since the creation of the Secret Service, after Abraham Lincoln’s presidency, it has always been the Secret Service’s fault. Every time.  In every single shooting, the Secret Service made the mistake of giving the shooters a clear shot. In 1901, the Secret Service allowed an assassin to walk right up to President William McKinley to shake his hand and instead revealed a handgun shooting the president to death. Congress had no hard questions for Secret Service Director John Wilkie after that, and the Secret Service director served another 10 years in that job after failing to protect the life of President McKinley. In 1933, two weeks before his inauguration, an assassin approached President-elect Franklin Delano Roosevelt’s car in Florida and fired shots that missed him but killed a mayor who was standing on the running board of the president-elect’s car. Once again, the Secret Service let an assassin with a gun get too close to the president-elect. Roosevelt was riding in an open car. It was an easy shot because it was an open car. The world was lucky that the assassin missed. Congress did not grill Secret Service Director William Moran who allowed that assassin to get so close to the president. Congress did not ask why Moran allowed the president-elect to ride in an open car. Moran served three more years as Secret Service director and continued to allow Roosevelt to ride fully exposed in an open car, which Roosevelt did throughout his presidency. Thirty years after those shots were fired at Roosevelt, shots fired at President John Fitzgerald Kennedy riding in the back of an open car took the life of the youngest president in history. As pieces of the president’s skull and brain tissue fell onto the surface of the open car behind President Kennedy’s head, his wife tried to reach back to grab those pieces while the fully incompetent Secret Service began climbing onto the back of the limousine and urging the first lady to stay in the car.       It was only after Kennedy was pronounced dead at Parkland Memorial Hospital in Dallas, Texas, that afternoon that Secret Service Director James Rowley decided the president should never again ride in an open car. And no president ever has, since that day. If Rowley had made that decision one day before, American history would be so much less tragic. Rowley served 10 more years as Secret Service director after losing Kennedy on his watch because of his incompetence. Kennedy’s younger brother Bobby Kennedy was assassinated in 1968 while running for president.  The Secret Service provided protection to presidential candidates starting the day after Bobby Kennedy was assassinated. Bobby Kennedy’s assassin was able to walk up to him and shoot him point blank.  In 1975, the Secret Service allowed President Gerald Ford to be shot at twice within two weeks. Stuart Knight was the director of the Secret Service then. He allowed people with no firearms training to simply get too close to the president.  He’s the only Secret Service director in history who allowed the same president to be shot at twice. But he wasn’t finished. He became the only Secret Service director in history to allow two different presidents to be shot at.  He was in charge when the Secret Service allowed another completely untrained pedestrian with a handgun to walk up and get close enough to President Ronald Reagan to fire shots as the president was entering the Washington Hilton. In that shooting, the Secret Service also allowed the president’s press secretary to be shot. And in that shooting, the Secret Service also allowed a Secret Service agent to be shot. All because the Secret Service and Secret Service directors had not yet figured out how to prevent pedestrians from randomly walking up to presidents and firing handguns at them.  There was no condemnation of Knight after the Gerald Ford shootings — two in one month — or the Ronald Reagan shooting. He left the Secret Service after eight years as director.  The Secret Service got marginally better after some of these shootings. No more open cars. No more people allowed to get close to a president moving on foot in or out of a building.  And now the Secret Service thinks it has figured out how to protect Donald Trump at his rallies. The Washington Post reports that the Secret Service urged the Trump campaign to “stop scheduling large outdoor rallies and other outdoor events with big crowds.”  But at the outdoor rally in Pennsylvania, the Secret Service failed to do the elementary thing of securing every possible elevated firing position. The roof it decided not to secure was the roof the murderer used to fire at the candidate and his supporters. It was, as usual, the Secret Service’s fault. The Secret Service director was right to resign, but she should not have been the first to resign. The new acting director of the Secret Service, Ronald Rowe, is a 24-year veteran of the Secret Service. We can only hope that he will provide the protection that allows this campaign to make it to Election Day with all of the big surprises being only political surprises. Join Lawrence O'Donnell, Rachel Maddow and many others on Saturday, Sept. 7, in Brooklyn, New York, for “MSNBC Live: Democracy 2024,” a first-of-its kind live event. You’ll get to see your favorite hosts in person and hear thought-provoking conversations about what matters most in the final weeks of an unprecedented election cycle. Buy tickets here."
8,"Mike Johnson insists Kamala Harris’ race and gender are irrelevant, as Republicans keep calling her a ‘DEI hire’",Not Avaiable For MSNBC,2024-07-24 12:53:00,https://www.msnbc.com/top-stories/latest/republicans-kamala-harris-dei-hire-race-gender-rcna163484,"As the ugly attacks on Kamala Harris from the right take shape, House GOP leaders are warning their fellow Republicans not to focus on her race or gender in their criticism of the de facto Democratic presidential nominee. The racist and misogynistic attacks on the vice president from conservative commentators and GOP lawmakers began almost immediately after she announced that she will seek her party’s nomination. Some lawmakers have called her a “DEI hire,” suggesting that Harris — who has served as a U.S. senator, a California attorney general and a San Francisco district attorney — is where she is due to identity politics and not because of her accomplishments. It appears that the top brass in the House GOP are trying to steer members of their party away from such bigoted attacks. At a closed-door meeting Tuesday, Rep. Richard Hudson of North Carolina, who chairs the National Republican Congressional Committee, urged his party members to instead focus on Harris’ record with the Biden administration, Politico reported. Afterward, House Speaker Mike Johnson told Politico that this election “has nothing to do with race” and that it’s a comparison between the two candidates’ strengths and their ideas for how to solve the country’s problems. “This election will be about policies and not personalities,” the Louisiana Republican told reporters after the meeting, according to The Associated Press. “This is not personal with regard to Kamala Harris, and her ethnicity or her gender have nothing to do with this whatsoever.” Whether such calls will sink in among House Republicans remains to be seen — they certainly do not seem to have gotten through to their presidential nominee. According to NBC News, while on a call hosted by the Republican National Committee on Tuesday, Donald Trump accused Harris of having “played the race card on a level you rarely see” in debates with Joe Biden during the Democratic presidential primaries in 2020."
9,Republicans’ case against Kamala Harris is off to an ugly start,Not Avaiable For MSNBC,2024-07-24 10:00:00,https://www.msnbc.com/rachel-maddow-show/maddowblog/2024-election-republicans-case-kamala-harris-ugly-start-rcna163468,"Three days into the transformed 2024 presidential race, how is the Republican Party’s case against Vice President Kamala Harris coming along? While pondering the question, consider the headline on one of The Associated Press’ overnight reports: “Republican leaders urge colleagues to steer clear of racist and sexist attacks on Harris.” From the article: On the one hand, Republican officials believe this will be the year in which they break through with voters in communities of color. On the other hand, GOP leaders feel the need to remind their members that targeting Harris with racism isn’t a good idea. That said, the reminders have merit. A political sprint is obviously underway — Election Day is just over 100 days away — and it stands to reason that Republicans are going to take on the likely Democratic nominee in every possible way. But it’s also hard not to notice that the GOP’s case against the incumbent vice president is off to a rough start. Over the course of the last 72 hours, the American public has seen Republicans target Harris with: • racism; • sexism; • false claims about her serving as a “border czar”; • complaints about her laugh; • complaints that she has served the public for too many years; • complaints about her hometown of San Francisco; • complaints that she likes Venn diagrams too much; and • complaints about plastic straws. For good measure, let’s not overlook the fact that Republican Sen. JD Vance — a year before getting elected to Congress, and two years before receiving his party’s vice presidential nomination — took rhetorical aim at Harris during a Fox News appearance, emphasizing the fact that she does not have biological children of her own. As part of his Senate campaign in Ohio, Vance specifically referred to Democrats as “a bunch of childless cat ladies who are miserable at their own lives and the choices that they’ve made and so they want to make the rest of the country miserable, too.” The Republican added that this included Harris. The GOP will need a winning message against the likely Democratic nominee. This isn’t it."
