Title,Edit_Date,Origal_Date,Link,Content
‘Congress at its worst’: Republicans can’t shake home appliance fixation,Not Avaiable For MSNBC,"July 10, 2024, 6:42 AM PDT",https://www.msnbc.com/rachel-maddow-show/maddowblog/congress-worst-republicans-cant-shake-home-appliance-fixation-rcna161096,"A few months ago, Axios reported that there was some growing “frustration” among House Republicans over their party’s focus on home appliance-related legislation, especially given that the Democratic-led Senate would ignore the GOP’s measures. Evidently, Republican leaders prefer to ignore the intraparty irritation. The Associated Press reported overnight: During the floor debate, Democratic Rep. Katie Porter of California called the effort “ridiculous,” adding, “It is Congress at its worst.” The congresswoman’s argument was both accurate and persuasive, and it was clear that Porter was frustrated that she even had to make the remarks. But making matters worse was the familiarity of the circumstances. Indeed, it was just a couple of months ago when House Republicans also approved the “Hands Off Our Home Appliances Act” (or “HOOHA”), which, if implemented, would make it more difficult to enact energy efficiency standards for washing machines, among other things. There’s no great mystery as to the broader political context: GOP members have a problem with energy efficiency standards, which used to enjoy relatively bipartisan support before the party’s approach to energy policy moved sharply to the right. A recent PunchBowl News report helped summarize matters: “These are all part of the Republican culture war clash over energy efficiency and climate change. It’s similar to the gas stove hysteria or Trump’s war on low-flush toilets and light bulbs.” GOP lawmakers know that these home appliance bills aren’t going anywhere in the Democratic-led Senate, but by all appearances, party leaders don’t much care. They want to be able to tell the far-right Republican base that they’re on Capitol Hill, fighting tooth and nail in support of pointless bills that combat energy conservation and efficiency standards. As a result, the “Refrigerator Freedom Act” and the “Stop Unaffordable Dishwasher Standards Act” (these are the actual bill names, which I swear I didn’t make up) will no doubt make for delightful fundraising letters and several Fox News segments, even as real priorities in need of Republicans’ attention go overlooked. As for the rest of the party’s appliance-related agenda, votes on the “Liberty in Laundry Act” (H.R. 7673), the “Clothes Dryers Reliability Act"" (H.R. 7645), and the “Affordable Air Conditioning Act” (H.R. 7626) were supposed to receive votes weeks ago. They have not yet been rescheduled, but it’s a safe bet they’ll end up on the House floor soon enough. This post updates our related earlier coverage."
Why Josh Hawley’s ahistorical ‘Christian nation’ nonsense matters,Not Avaiable For MSNBC,,https://www.msnbc.com/rachel-maddow-show/maddowblog/josh-hawleys-ahistorical-christian-nation-nonsense-matters-rcna161078,             
Joe Biden has no vision,Not Avaiable For MSNBC,"July 10, 2024, 3:00 AM PDT",https://www.msnbc.com/opinion/msnbc-opinion/biden-trump-age-2024-policy-rcna160505,"A few weeks ago I received a letter from President Joe Biden that distilled one of the key — and under-discussed — reasons that I believe he’s at serious risk of losing in November. To be clear, this was no personal missive. It was a fundraising pitch signed by Biden and sent out by his presidential campaign, presumably to people who might vote for Democrats in November. In this letter Biden laid out his case to voters for supporting his re-election bid. In paragraph after paragraph over the course of two pages, he sounded the alarms about former President Donald Trump. He warned of Trump’s campaign of revenge. He detailed the threats that Trump poses to democracy and the rights and social services that Americans currently enjoy. He called for help in debunking “MAGA lies.”  Biden’s case against Trump was sound. But something was missing: Joe Biden’s case for himself. He allocated just one sentence at the bottom of the first page to discussing his legislative accomplishments. As for his future aims, buried on the second page were three bullet points explaining a handful of things he planned to do if he wins a second term: ban assault weapons; cap insulin costs; and increase taxes on billionaires. The rest of the note returned to talking about the fight against Trump and the importance of mobilizing for November. Biden’s fundraising letter typifies a broader trend. His campaign relentlessly issues warnings about Trump — and there is much to warn about — but it’s thin on what he would do with his own time in office. His inaugural re-election campaign video opened with footage of Jan. 6 and focused overwhelmingly on the menace of Trumpism. His campaign’s leading social media account on X is laser focused on dunking on Trump or talking about how dangerous he is. A central theme of his and Vice President Kamala Harris’ public commentary is protecting abortion rights from further erosion under Trump. Even though Biden announced his re-election bid over a year ago, up until a few weeks ago, his campaign website didn’t even have a policy section (unlike Trump’s). The site’s headline argument was the need to support Biden “to keep Trump out of the Oval Office.” In recent weeks, Biden’s website has added an “issues” section, but it remains anemic. (More on that later.)  Again, preventing another Trump presidency is an essential part of the case for Biden’s re-election. But framing the case almost purely in those terms neglects an essential task of any political candidate: clearly communicating an agenda and building a mandate for that agenda. What should Americans expect — and get excited about — when casting their ballot for Biden other than “this guy is not Trump”?  Banking on dread of Trump isn’t working as an election strategy. The president has trailed Trump in national polls and in polls of swing states since last year, after Trump promised to be “dictator for a day,” after his Hitlerian rhetoric about immigrants and even after he was convicted of 34 felony counts. Polling indicates that for less politically engaged voters, who outnumber highly engaged voters and who lean toward Trump, economic concerns outweigh concerns about democracy.  Since the 2020 Democratic primaries, Biden’s central value proposition has been that he serves as the most practical bulwark against Trump and an American slide toward autocracy. But the president’s evidence for that premise has become far less clear since he has taken a huge hit in his approval ratings over the course of his tenure. And even before his disastrous debate performance, a majority of voters felt he was too old for the office. If Biden is not a reliable defender against Trump, then what exactly is it that will get voters to see the point of sticking with him? This is all the more frustrating because Biden has many accomplishments as president to be proud of and which should, theoretically, shape the public’s understanding of him. His first term was surprisingly productive given the narrowness of Democrats’ congressional majorities. His aggressive intervention in the economy with the American Rescue Plan was bold and successful, and he passed major bills securing, among other things, badly needed infrastructure, advanced manufacturing jobs at home, major clean energy investment, and lower prescription drug prices for seniors.  But voters have famously short memories. Polling shows that huge swaths of Americans are unaware of Biden’s signature policy achievements, and some even credit Trump for passing Biden’s infrastructure policy. A New York Times / Siena College poll taken earlier this year showed that more than twice as many voters think Trump’s policies helped them personally compared with Biden’s. Dispiriting as this may be, it means that Biden cannot rest on his laurels — he needs to set up more big swings and give people positive reasons to vote for him that speaks to their current concerns. While Biden’s execution of his agenda was remarkable, a lot of his motivation to take it on in the first place was due to circumstances that don’t exist anymore. Biden’s 2020 policy vision was beefed up by that year’s primaries, which generated Democrats’ most progressive policy debate in decades. Biden presented himself as among the most centrist of the candidates in the race, but after the primaries he adopted more progressive policies in a coordinated show of party unity with former rival Sen. Bernie Sanders. This year the primaries were mostly a formality and Biden was not challenged to show policy ambition. Additionally, Biden took office during the pandemic, and his advisers counseled him to spend aggressively to avoid the mistakes of former President Barack Obama’s response to the 2008 financial crisis. He not only had a political imperative to go after big policies, but an economic one — neither of which he had coming into this campaign.  Biden will from time to time discuss policies he favors, but they generally take the form of vague and technocratic incrementalism, rather than a discernible and coherent vision. Americans can intuit that there are threats to their freedom beyond Trump, embedded in the way our political and economic systems operate. Given how badly inflation battered how ordinary Americans experienced and perceived the economy during his term, it is political malpractice not to propose headline-generating and coalition-building policies that will help Americans’ feel optimistic about the economy. What happened to Biden’s support for a public option, which has the potential to set in motion a revolution in reforming our barbaric and exorbitant health care system? Better yet, why not shoot straight for Medicare for All? What about aggressively lobbying for a higher minimum wage? What universal policy ideas does Biden have on issues like the cost of housing and higher education that can speak to the electorate’s desire for sweeping change? If Biden wants to do the right thing, excite progressives and show bold foreign policy vision, he should chart an independent course from Israel and stop subsidizing its brutal military operation in Gaza. What about tapping into widespread disenchantment with an increasingly radical Supreme Court by promising Supreme Court reform? Biden’s struggles in communicating clearly are only exacerbating his agenda problem. At the debate, Biden brought up a great policy — an enhanced child tax credit — multiple times. But he spoke in rushed, incomplete sentences and was often barely audible. He did not explain how it works in simple, clear and attractive language. He did not sell this idea as part of a package of exciting proposals tied to economic freedom, but instead jammed it into a rushed list of policies that are hard for nonpolicy wonks to follow as he scrambled to play defense against Trump. One can't help but feel that the Biden campaign is sleepwalking. Just as Biden is out of touch with voters’ widespread doubts about his ability to serve another term, he is also out of touch with how to renew their faith in him as someone who can deliver a better future. A future worth organizing for, funding and mobilizing to make into a reality. If Biden does not step aside — and he's adamant that he won't — then becoming assertive and ambitious on policy is maybe the only thing he can do to re-engage with a public that's dangerously cool on him. It may not be enough to save him. But Americans deserve a better campaign than, ""Hey, at least I'm not a fascist."""
The multiple tragedies of a Trump-nominated judge’s sexual misconduct,Not Avaiable For MSNBC,"July 10, 2024, 3:00 AM PDT",https://www.msnbc.com/rachel-maddow-show/maddowblog/joshua-kindred-trump-judge-sexual-misconduct-rcna160912,"In December 2019, after Joshua Kindred was nominated by then-President Donald Trump to a federal district court judgeship in Alaska, he fielded questions from senators tasked with assessing his fitness for the job. One of them — Sen. Mazie Hirono, D-Hawaii — asked him a question she poses to all judicial nominees: ""Since you became a legal adult, have you ever made unwanted requests for sexual favors, or committed any verbal or physical harassment or assault of a sexual nature?"" Kindred, a state prosecutor-turned-Department of Interior lawyer, answered, ""No."" Ultimately, he was confirmed by the full Senate in mid-February 2020 by a vote of 54-41. Yet Kindred, who is only in his 40s, has now resigned from the job he could have held for life. And, perhaps not coincidentally, his resignation came the same day a judicial council overseeing misconduct complaints for his court publicly released an order summarizing the evidence collected through its ""thorough investigation"" of a complaint against Kindred and reflecting its judgment that Kindred should voluntarily resign. Specifically, the order ""reprimanded and admonished"" him for ""creating a hostile work environment for his law clerks and ... having an inappropriately sexualized relationship with one of his law clerks both during her clerkship and after she became [a federal prosecutor]."" Kindred's two-sentence resignation letter, submitted to President Joe Biden on July 3, did not address the allegations. There's no proof Kindred lied when he told Hirono he had never sexually harassed or assaulted anyone. But even the limited evidence discussed in the order suggests he was no novice, especially in fostering a hostile work environment. In particular, ""nearly all"" of his current and former law clerks sat for interviews, despite their stated ""reluctance or discomfort at being involved in the investigation,"" according to the judicial council's report. And collectively, they revealed his pattern of highly sexualized workplace talk, including ""encouraging rating people based on 'fuckability,'"" or soliciting a clerk's romantic advice after a federal prosecutor had sent him nude photos of herself. His 628 pages of texts with his clerks were filled with similar vulgarities and seemingly more frequent; with one law clerk, he exchanged 278 pages of texts in just 11 months, ""only a small fraction of which had any relationship to her legitimate job duties."" Calling himself her ""biggest cheerleader,"" he predicted he would become an ""emotional wreck"" when her clerkship ended. But what reads like an unrequited, consuming crush over texts escalated into something more pernicious in real life: at least two incidents of sexual contact, each of which seemed unwelcome from the report's narrative. For example, before the more significant of the two episodes, the clerk told the investigators, ""I just remember thinking like there's nothing I can do about this, like this is about to happen."" That doesn't exactly sound consensual. Yet when Kindred was given the opportunity to argue his case before the judicial council, he reflected that his ""great sin"" was that he ""treated [his] law clerks as friends rather than employees."" The judicial council, on the other hand, framed his misconduct more starkly: ""Judge Kindred created an atmosphere in which he was inappropriately inserting himself into the personal lives of his law clerks, engaging in a sexualized relationship with one of his law clerks, and having sexually suggestive and explicit conversations with his law clerks."" Kindred has not publicly addressed the allegations. He did not immediately respond to NBC News' request for comment. Some of his alleged conduct might have come to light sooner if Congress had passed legislation, like that proposed by Hirono in past years, that would protect federal judicial employees from retaliation and sex discrimination. Still, even that doesn't go far enough. Beyond his impact on the careers of courthouse employees, did Kindred's attitudes about gender, sex and sexuality, whether owned or implicit, impact how he ruled in the cases before him? A survey of his opinions suggests Kindred did not encounter any sexual harassment claim he deemed worthy of a trial, let alone a verdict. Among the plaintiffs whose claims he dismissed is an Alaska state trooper trainee who alleged a fellow recruit entered her dorm while she was sleeping and later commented to her about watching her and also entered the women's locker room while she was undressed — both alleged acts violate academy rules. Kindred threw out her claims because while ""inappropriate, these two instances of harassment were relatively isolated, not 'extremely serious,' and were investigated."" Another plaintiff, a National Park Service employee, alleged that her boss grabbed her by the arm, hugged her and rubbed her back without her permission — and also would ""stalk"" her as she walked to her office or as she waited for an office printer. Yet none of her allegations were sufficiently pervasive and severe to constitute a hostile work environment either, Kindred found. In the wake of Kindred's resignation, neither of them will ever achieve redress. Meanwhile, justice for federal litigants in Alaska may be delayed, as Kindred's resignation leaves the state with only one active federal district court judge. And until we find a more probing, less punitive way of vetting judicial nominees, we too are doomed to award federal judgeships to those who collect brass rings and political patrons, without sufficient attention to what matters most: character."
Don’t expect Ukraine to get any closer to NATO membership at this week's summit,Not Avaiable For MSNBC,"July 10, 2024, 3:00 AM PDT",https://www.msnbc.com/opinion/msnbc-opinion/nato-washington-summit-ukraine-rcna160890,"On the eve of NATO’s Washington summit, which runs Tuesday to Thursday and marks the alliance’s 75th anniversary, American foreign policy mavens identified with the realist school of thought signed an open letter warning against steps that would move Ukraine closer to NATO membership. First published in Politico and later in the U.K.’s Guardian, the letter makes a case against such steps on two grounds. The first is that it would increase the risks of war with Russia. Article V of the alliance’s April 4, 1949, founding treaty provides — albeit with some wiggle room — for the collective defense of member states that come under attack. Were Russia to attack a Ukraine allied with NATO, the U.S.-led military pact would be at war with Russia. The letter writers’ second argument against bringing Ukraine into NATO is that no important American national security interest warrants running this risk. The letter’s signatories might have spared themselves the effort of writing. Even though NATO membership is something President Volodymyr Zelenskyy’s government has pushed for and, according to a recent poll, 77% of Ukrainians desire, there’s no chance NATO will take concrete steps that solidify Ukraine’s prospects for membership. To understand why NATO won’t oblige Ukraine, we need to look back and look forward. At NATO’s 2008 summit in Budapest, Hungary, President George W. Bush goaded a divided NATO to agree in principle to admit Ukraine. Such is the influence of the U.S. within the alliance: Without America’s military might, Article V would be meaningless. But even though Bush prevailed, so, in a sense, did the countries leery about admitting Ukraine. The part of that summit’s closing statement that pertained to Ukraine was noncommittal. It averred that NATO looked forward to welcoming Ukraine into its ranks but made no promises and didn’t provide a timeline. Because of divisions in NATO, Kyiv was consigned to the alliance’s waiting room for 14 years, at which point Russia invaded. It didn’t even receive the Membership Action Plan promised in the Budapest statement. While the possibility of Ukraine’s membership increased tensions between Kyiv and Moscow, when Putin ordered his army to march on Kyiv in 2022, Ukraine was left naked. The disunity within NATO over Ukraine’s membership has become even deeper. Poland, Estonia, Latvia and Lithuania are avid supporters, but elsewhere the mood ranges from reluctance to the outright opposition evident in Hungary and Slovakia. Worse, the success of far-right parties in the latest elections to the European Parliament (23 of 32 NATO countries also belong to the European Union) and their stronger presence in countries such as France, the Netherlands, Germany and even Sweden bode ill for Ukraine’s chances. Now, one might point out that more NATO countries support Ukraine’s admission than oppose it. That would be a good point if decisions on enlarging NATO were reached by a majority vote. But that’s not how it works. According to Article 10 of the founding treaty, “The Parties may, by unanimous agreement, invite any other European State in a position to further the principles of this Treaty and to contribute to the security of the North Atlantic area to accede to this Treaty.” This formulation gives any member nation a veto. Ukraine’s problems don’t end there. The U.S. has been unwilling to throw its weight behind Ukraine. In a May 28 interview with Time, President Joe Biden highlighted Russia’s threat to Ukraine and Europe more generally. But he had this to say when queried about “the endgame” for Ukraine: “Peace looks like making sure Russia never, never, never, never occupies Ukraine. That’s what peace looks like. And it doesn’t mean ... they are part of NATO, it means we have a relationship with them like we do with other countries, where we supply weapons so they can defend themselves in the future. ... I am not prepared to support the NATOization of Ukraine.” In Kyiv’s corridors of power, the realities that block Ukraine’s entry into NATO are well understood, even as they evoke frustration and disappointment. Much of what will happen at the summit that started Tuesday is entirely predictable: NATO will tout its past successes, the democratic values that bind it, the doubling of its membership from 16 at the peak of the Cold War to its current 32, its members’ increased defense spending and its support for Ukraine’s resistance to Russia. What’s equally foreseeable is that NATO won’t take any decision that definitively brings Ukraine closer to membership. NATO’s statement could reportedly include strong new language that aligns with or explicitly echoes NATO Secretary-General Jens Stoltenberg’s statement in April declaring Ukraine’s path to membership “irreversible.” That would mean Ukraine could become a member at some future, unknown, date. If that happens, Kyiv is likely to be pleased about the language. It would mean that Russia can’t count on a political settlement to its war with Ukraine that depends on Ukraine being kept out of NATO. But even a statement signaling that Ukraine’s path to membership is irreversible still wouldn’t set aside the requirement for unanimity within NATO for admitting new members. That’s not present now, and when it will be remains uncertain."
"At least 186,000 deaths in Gaza could result from Israel-Hamas war, researchers estimate",Not Avaiable For MSNBC,"July 9, 2024, 3:54 PM PDT",https://www.msnbc.com/top-stories/latest/gaza-death-toll-lancet-israel-hamas-war-rcna160902,"More than 186,000 deaths in Gaza could result from the Israel-Hamas war, according to an analysis published by The Lancet medical journal. The analysis, which was published in The Lancet’s correspondence section, was not peer-reviewed, but it underscores the difficulty of accurately documenting the conflict’s death toll. The official Gaza toll since Oct. 7 is at least 38,000, according to the Gaza Health Ministry. The researchers pointed to the number of eventual indirect deaths in recent conflicts, which ranged from three to 15 times the number of direct deaths. “Even if the conflict ends immediately, there will continue to be many indirect deaths in the coming months and years from causes such as reproductive, communicable, and non-communicable diseases,” they wrote. For their estimate, the researchers added four indirect deaths for each direct death reported so far in Gaza, concluding that “it is not implausible to estimate that up to 186,000 or even more deaths could be attributable to the current conflict.” Counting the death toll in Gaza is a monumental effort that has become increasingly difficult, with international human rights groups and news reports saying the official count is likely incomplete. Authorities have struggled to identify the bodies buried in mass graves, or body parts pulled from the rubble, while suffering from starvation and dehydration themselves. Israeli government agencies have previously accused the Gaza Health Ministry, which is run by Hamas, of inflating the death toll. President Joe Biden similarly suggested at one point that those numbers are not to be believed. However, human rights groups, news organizations and even Israeli intelligence services have previously considered the health ministry’s numbers to be largely accurate. Israel’s assault on Gaza after Hamas’ attack has been catastrophic. United Nations experts say famine is spreading throughout Gaza, and they accuse Israel of carrying out a “targeted starvation campaign” against Palestinians. Much of Gaza’s infrastructure — schools, hospitals, housing, and water and electricity supplies — has been destroyed or damaged. The human toll of the war has been especially devastating. Most of the people killed in the past nine months have been women and children, according to the official numbers. The Associated Press recently documented 60 Palestinian families in which at least 25 people have been killed, with some of the deaths spanning four generations in one family."
Here’s why the debate over Joe Biden’s future is so important,Not Avaiable For MSNBC,"July 9, 2024, 3:36 PM PDT",https://www.msnbc.com/inside-with-jen-psaki/latest/democrats-strategy-biden-beat-trump-2024-rcna160901,"This is an adapted excerpt from the July 8 episode of “Inside with Jen Psaki.” President Joe Biden has come out fighting. It all started with his letter to congressional Democrats on Monday, vowing to stay in the race. Less than an hour later, the president was on the phone with our friends at “Morning Joe” doubling down on that promise. If this is a stare-down, and in many ways it is, Biden isn’t blinking.  As the president keeps a busy schedule, traveling to swing states and meeting with world leaders at the NATO summit, Donald Trump has been virtually out of sight since the debate. We’re seeing a defiant Biden and a virtually silent Trump. Even so, there are daily reminders of the threat the former president poses and the importance of defeating him. The thing is, there’s no universal agreement right now on who is the best person to do that. The clock is ticking, that’s just a fact. The Democratic National Convention is just a few weeks away and the election is in four months. On Monday, I spoke to two Democratic senators, John Fetterman of Pennsylvania and Chris Murphy of Connecticut, who have slightly different views on the right path forward. Fetterman has been arguably the president’s fiercest defender since the debate, joining Biden on his campaign swing through Pennsylvania. And then there’s Murphy, who’s been open about how Biden needs to do more to reassure the public. Two Democratic senators, both patriots who love their country and love the president, and who just happen to be answering the same question a little bit differently right now. And guess what? That’s OK. Disagreement is a sign of a healthy democracy. Disagreement is what Trump and the Republican Party want to get rid of in this country. While good faith actors in the Democratic Party openly discuss the best path forward, Republicans are blindly defending everything a man convicted of 34 felonies says and does. And that blind loyalty means everything is on the line in this election: women’s rights, the Supreme Court, the rule of law and, yes, democracy itself. The prospect of a criminally immune criminal in the most powerful office in the world is on the line. Fetterman knows that, and so does Murphy. Biden’s closest advisers know that, and, yes, the people calling on him to drop out of the race know that, too. We know winning has never been more important than it is this November. We know losing is not an option. It’s because the stakes are so high that there’s disagreement about how we get there. No one in the Democratic Party is disputing that Biden is an incredibly decent and empathetic human being. When I met with him for the first time about the White House press secretary job, his biggest focus was on whether I could play a role in returning civility and respect for the media to the briefing room. He didn’t want shouting matches or accusations. He wanted to restore dignity to the office. That’s who he is.  He is a person who asks about your kids and your family. A person who, when I was there two years ago, was so relentless that he would keep meetings going in the Oval Office for hours. He cares deeply about the country. He ran not for fame or fortune, and certainly not to keep himself out of jail but because he is a person who believes in public service and in making the lives of others better. He wants to help the guy from Scranton he talks to after church who feels left behind and forgotten. Representing those people is his calling, and that's what has always driven him to run for office. He was the uniter when the country needed it. He was the comforter-in-chief when people were mourning loved ones lost to Covid. It’s not just that he has defied the odds repeatedly in his career, including when he ran for president in 2020, landing in fourth place in Iowa and still coming back to win the nomination and defeat Trump. It’s not just that he forged ahead in pursuing bipartisan legislation at a time when most people said that was malarkey, as he might say; it's that he did it through hard work, relationship building and compromise — a part of governing that’s largely been lost in Washington. If you’re sitting there reading all of this and feel angry, I get it. If you feel frustrated, I get that, too. Biden is a good man who has been a great president and pushed forward an impressive agenda. That’s just a fact. But this discussion right now is not about that. It’s not about whether he defied the odds in 2020. He did. Or whether he defied the odds during his first term. He did. It’s not about whether he would stand up for democracy. He would. It’s whether he is the right person to defeat Donald Trump.  We don’t know at this moment exactly where voters stand on that question, and they are ultimately the only ones that matter. There are legitimate questions, and it isn’t only rich donors and coastal elites who are asking them. I worked for him, I respect him and I care about him deeply, but if I told you that every question being asked is unfair, I wouldn’t be respecting you. I’m not going to do that.  Yes, the president and his team came out fighting. He was defiant — a sign of vigor that is important in this moment, but that’s not his most effective message. This election will be won not by someone who simply name-calls Trump but by someone who can articulate clearly to the American public that Trump is not fighting for them. He is fighting for himself. Biden has done that effectively and can do it effectively. But the man I saw on that debate stage in Atlanta was not the person I worked for more than two years ago: a person who switched between spontaneous calls to members of Congress and to foreign leaders, who grilled policy people for more answers and harangued spokespeople for speaking in acronyms. That was not the person we all saw.  So maybe it was just one bad night, but the president will have to keep answering questions and convincing skeptics he’s up to the job. He has started that process, with interviews and campaign events, and there’s a big test coming up Thursday with a solo press conference after the NATO summit. Everything he does will be scrutinized. So while defiance is a start, defiance alone will not win back every supporter he needs, and neither will denial about the reality right now."
"Tuesday’s Mini-Report, 7.9.24",Not Avaiable For MSNBC,"July 9, 2024, 2:30 PM PDT",https://www.msnbc.com/rachel-maddow-show/maddowblog/tuesdays-mini-report-7924-rcna161008,"Today’s edition of quick hits. * Beryl’s aftermath: “‘Dangerous heat’ is set to impact southeast Texas on Tuesday after Beryl has left over 2 million utility customers in the region without power, according to the National Weather Service. A large chunk of the Texas coast, where Beryl made landfall Monday morning as a Category 1 hurricane, was under heat advisories Tuesday. ... High temperatures coupled with no access to air conditioning could cause heat-related illnesses for some, the weather service field office in Houston said.” * A brutal Russian strike in Ukraine: “A children’s hospital in Kyiv has been hit after Russia launched a wave of missile strikes against cities across Ukraine. Two people died when the Ohmatdyt Children’s Hospital — Ukraine’s biggest pediatrics facility — sustained major damage during the blast. Thirty-six people were killed and 140 people were injured in the strikes, President Volodymyr Zelensky’s chief of staff Andriy Yermak said on Monday.” * A rate cut sure would be nice: “Federal Reserve Chair Jerome Powell on Tuesday expressed concern that holding interest rates too high for too long could jeopardize economic growth.” * Too much of the coverage of this pseudo-controversy was irresponsible: “President Joe Biden has not seen a neurologist outside his annual physicals, White House physician Kevin O’Connor said in a letter released Monday night addressing visits to the White House by a Parkinson’s disease expert.” * If you’re wondering whether U.S. District Judge Joshua Kindred was a Trump appointee, he was: “A federal judge in Alaska resigned Monday after an investigation found that he had an inappropriate relationship with a law clerk and then lied about it, in addition to creating a hostile work environment that included graphic sexual remarks to colleagues.” * Hmm: “A U.S. Navy sailor tried to access President Joe Biden’s health records “out of curiosity” but failed, the Navy said on Tuesday, adding that Biden’s medical records were not compromised at any time. ... A U.S. defense official, speaking on the condition of anonymity, said the sailor tried to access the records three times within the span of a few hours.” * Best wishes for a speedy recovery: “Congressman and longtime California politician John Garamendi said Monday that he has been diagnosed with a rare form of blood cancer called multiple myeloma. In a statement and a video posted on the social media platform X on Monday afternoon, Garamendi (D-Walnut Grove), 79, said doctors found the cancer early.” * Inhofe’s passing: “James M. Inhofe, a five-term Republican senator from Oklahoma and, until President Donald J. Trump’s arrival in 2017, arguably Washington’s most prominent denier of the established science of human-generated climate change, died on Tuesday in Tulsa, Okla. He was 89. His death, in a hospital, was announced in a statement by his family, which said the cause was a stroke.” See you tomorrow."
"Jim Inhofe, climate crisis-denying former senator, dies at 89",Not Avaiable For MSNBC,"July 9, 2024, 2:12 PM PDT",https://www.msnbc.com/top-stories/latest/jim-inhofe-dies-climate-crisis-snowball-rcna160991,"Former Sen. Jim Inhofe, who went to lengths as a lawmaker to deny that climate change is exacerbated by human activity, died this week at 89 following a stroke, his family said. Oklahoma's longest-serving senator, Inhofe was first elected to the Senate in 1994. He resigned in 2023, saying at the time that he wanted to spend more time with his wife. After he left office, however, he told the Tulsa World in an interview that he had stepped down because he had long Covid. Inhofe's views often reflected the extreme leanings of his party. He was intensely homophobic (in opposing same-sex marriage, he once boasted to the Senate that in the ""recorded history"" of his family ""we've never had a divorce or any kind of a homosexual relationship""), he was rabidly pro-gun (he once blamed mass shootings on ""permissive laws"" in sanctuary cities) and opposed abortion rights. But Inhofe was best known for his zealous denial of the climate crisis and that human activity was its primary driver. (The New York Times reported, ""Mining, oil, gas, coal and utility interests were generous contributors to Mr. Inhofe’s Senate campaigns."") Inhofe called climate change “the greatest hoax ever perpetrated on the American people.” In 2015, when he was chairman of the Senate Environment and Public Works Committee, he infamously took a snowball onto the Senate floor during a snowstorm, ostensibly to demonstrate that global warming was not real. Staffers told Politico's E&E News in 2020 that the stunt was intended to highlight media hypocrisy. “Whenever it’s hot in the summer, everyone’s like ‘Oh, my gosh, climate change!’ But if it’s something that doesn’t play into the global warming element, like a snowstorm in February, people don’t say, ‘Oh, my gosh, it’s climate change,’” the staffer who wrote the speech told the outlet. The Oklahoma Republican was also a staunch supporter of Donald Trump, who shared his denial of climate science. Inhofe had an outsize influence on the Trump administration's environmental agenda, according to The Washington Post. Yet he broke with members of his own party in 2020, opting to certify Joe Biden's election win in a move that earned him backlash among some Republicans. Twice, however, Inhofe voted against impeaching Trump."
Biden has stumbled on a way out of his post-debate mess,Not Avaiable For MSNBC,,https://www.msnbc.com/opinion/msnbc-opinion/biden-age-campaign-trump-debate-rcna160846,       
