Title,Link
Jim Jordan’s latest crusade against ‘woke’ companies proves the GOP isn’t for free enterprise,https://www.msnbc.com/the-reidout/reidout-blog/jim-jordan-war-woke-companies-esg-rcna164605
"Arizona election officer, shunned by GOP for saying the 2020 race wasn't stolen, loses GOP primary",https://www.msnbc.com/top-stories/latest/arizona-maricopa-county-stephen-richer-gop-primary-2020-election-rcna164552
How Trump telling supporters they won't have to vote anymore is part of a sly game,https://www.msnbc.com/opinion/msnbc-opinion/trump-interview-fox-news-ingraham-vote-anymore-christians-rcna164337
Trump's NABJ appearance was the train wreck many expected,https://www.msnbc.com/the-reidout/reidout-blog/nabj-trump-interview-panel-chicago-rcna164300
What Olympics star Ilona Maher doesn’t have to explain to you about her body,https://www.msnbc.com/opinion/msnbc-opinion/paris-olympics-womens-ruby-ilona-maher-tiktok-bmi-rcna164574
"Wednesday’s Mini-Report, 7.31.24",https://www.msnbc.com/rachel-maddow-show/maddowblog/hamas-leader-killed-ukraine-receives-f-16s-wednesdays-mini-report-7312-rcna164582
Trump judge in Texas border case goes too far for far-right court,https://www.msnbc.com/deadline-white-house/deadline-legal-blog/texas-border-rio-grande-james-ho-rcna164543
Kamala Harris practically dares Trump to debate her,https://www.msnbc.com/top-stories/latest/kamala-harris-trump-debate-september-rcna164521
Harris' historic campaign builds on breakthroughs by other Black women,https://www.msnbc.com/top-stories/latest/harris-historic-moseley-braun-2024-rcna164343
Time to update the talking points: Border conditions keep improving,https://www.msnbc.com/rachel-maddow-show/maddowblog/border-conditions-improving-trump-republicans-election-2024-mexico-rcna164538
Justice Alito’s extreme approach reportedly cost him court majorities,https://www.msnbc.com/deadline-white-house/deadline-legal-blog/alito-social-media-supreme-court-jackson-barrett-rcna164461
Why it matters that Mark Kelly is slamming Trump for killing a border deal,https://www.msnbc.com/rachel-maddow-show/maddowblog/mark-kelly-slamming-trump-killing-border-deal-election-2024-republican-rcna164519
The Floodgates are Open,https://www.msnbc.com/msnbc-podcast/prosecuting-donald-trump/prosecuting-donald-trump-floodgates-are-open-rcna164505
Simone Biles celebrates Team USA's gold with a pointed response to critics,https://www.msnbc.com/top-stories/latest/simone-biles-olympics-gold-2024-gymnastics-vance-rcna164462
"Wednesday’s Campaign Round-Up, 7.31.24",https://www.msnbc.com/rachel-maddow-show/maddowblog/wednesdays-campaign-73124-rcna164509
‘Coup’ doesn’t mean what Republicans seem to think it means,https://www.msnbc.com/rachel-maddow-show/maddowblog/coup-doesnt-mean-republicans-think-means-vance-biden-election-2024-rcna164492
“When the Clock Broke” with John Ganz,https://www.msnbc.com/msnbc-podcast/why-is-this-happening/-clock-broke-john-ganz-rcna164261
"Trump pushes his luck with new attack on Harris, China and Russia",https://www.msnbc.com/rachel-maddow-show/maddowblog/trump-pushes-luck-new-attack-harris-china-russia-election-2024-rcna164482
Reports of Project 2025’s demise have been greatly exaggerated,https://www.msnbc.com/rachel-maddow-show/maddowblog/reports-project-2025s-demise-greatly-exaggerated-trump-election-2024-rcna164459
"The problem(s) with Trump’s ugly rhetoric about Harris, antisemitism",https://www.msnbc.com/rachel-maddow-show/maddowblog/problems-trumps-ugly-rhetoric-harris-antisemitism-jewish-election-2024-rcna164448
‘Mountain Queen’: The greatest Everest climber you’ve never heard of,https://www.msnbc.com/know-your-value/out-of-office/mountain-queen-greatest-everest-climber-ve-never-heard-rcna164065
Why Trump targeted Christians with his darkest promise yet,https://www.msnbc.com/opinion/msnbc-opinion/christian-nationalist-trump-speech-voting-rcna164091
Simone Biles just proved she’s so much bigger than her sport,https://www.msnbc.com/opinion/msnbc-opinion/simone-biles-gymnastics-olympics-2024-score-team-usa-rcna164406
Wayne Brady gives an important lesson on the power of vulnerability,https://www.msnbc.com/opinion/msnbc-opinion/wayne-brady-reality-show-vulnerable-black-masculinity-rcna164055
What to watch for in Arizona’s primaries Tuesday night,https://www.msnbc.com/the-reidout/reidout-blog/arizona-2024-primary-races-to-watch-rcna164331
"Tuesday’s Mini-Report, 7.30.24",https://www.msnbc.com/rachel-maddow-show/maddowblog/tuesdays-mini-report-73024-rcna164387
Americans want SCOTUS reform — but 'arrogant' justices are standing in the way,https://www.msnbc.com/deadline-white-house/deadline-legal-blog/biden-supreme-court-reform-ethics-rcna164350
"Sheriff who hired Sean Grayson, the deputy who killed Sonya Massey, rejects calls to resign",https://www.msnbc.com/top-stories/latest/sean-grayson-sonya-massey-sheriff-resign-rcna164296
R. Kelly appeals sex crime convictions to U.S. Supreme Court,https://www.msnbc.com/deadline-white-house/deadline-legal-blog/r-kelly-supreme-court-appeal-rcna164313
I didn’t vote for Tim Walz originally. Now I’m completely Walz-pilled.,https://www.msnbc.com/opinion/msnbc-opinion/tim-walz-kamala-harris-vp-pick-minnesota-rcna164157
Kamala Harris has given Democrats another shot downballot,https://www.msnbc.com/opinion/msnbc-opinion/kamala-harris-voter-enthusiasm-rcna164158
"Team Harris stresses prosecutorial record, calls Trump a criminal",https://www.msnbc.com/rachel-maddow-show/maddowblog/team-harris-prosecutorial-record-calls-trump-criminal-election-2024-rcna164333
