Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Tweet ID
Kamala Harris,@KamalaHarris,2024-09-23T15:24:01.000Z,True,"Donald Trump wants to impose a Trump Sales Tax on everyday, basic necessities. It will cost the average American family nearly $4,000 a year. 

My plan would build an opportunity economy that puts workers and families first—so Americans can not just get by, but get ahead.",16K,7.8K,23K,1.8M,[],[],[],tweet_id:1838237893988360485
Kamala Harris,@KamalaHarris,2024-09-24T21:26:28.000Z,True,Donald Trump’s economic plan will make life more expensive for middle-class and working families.,858,812,2.1K,143K,[],[],[],tweet_id:1838691497794785445
Kamala Harris,@KamalaHarris,2024-09-24T19:24:01.000Z,True,"Donald Trump’s Project 2025 Agenda is a national sales tax on everyday essentials:

—Gas
—Food
—Clothing
—Medication

It would cost a typical family almost $4,000 a year.",2.4K,2.5K,6.1K,344K,[],[],[],tweet_id:1838660681991623164
Kamala Harris,@KamalaHarris,2024-09-24T16:41:00.000Z,True,"As president, it will be my day one priority to bring down prices, take on big corporations, and cap the cost of prescription drugs for all Americans. 

I believe everyone in America should have the chance not just to get by, but to get ahead.",5.8K,2.8K,9.2K,692K,[],[],[],tweet_id:1838619657260962204
Kamala Harris,@KamalaHarris,2024-09-24T15:29:44.000Z,True,"My top priority as president will be to lower costs on everyday essentials. 

The differences between my plan and Donald Trump’s Project 2025 agenda are clear as day:",6.2K,2.7K,9K,811K,[],[],[],tweet_id:1838601718919057465
Kamala Harris,@KamalaHarris,2024-09-24T15:42:12.000Z,True,"Donald Trump’s plan would hurt working families. His Project 2025 agenda would:Impose a sales tax on everyday goods, costing families $4,000 a yearCut taxes for billionaires and big corporationsIncrease prescription drug costs for seniorsEnd the Affordable Care Act",547,496,1.8K,210K,[],[],"['\\u274c', '\\u274c', '\\u274c', '\\u274c']",tweet_id:1838604859852968386
Kamala Harris,@KamalaHarris,2024-09-24T15:51:25.000Z,True,"This election is about whether we are going to build an opportunity economy that gives every American a chance not just to get by, but to get ahead.

As president, that will be my priority every day.",647,444,1.8K,169K,[],[],[],tweet_id:1838607177189138798
Kamala Harris,@KamalaHarris,2024-09-24T13:01:47.000Z,True,"Donald Trump fights for billionaires and large corporations. 

I am fighting for working and middle-class Americans.",7.1K,3.8K,12K,1.3M,[],[],[],tweet_id:1838564488536052105
Kamala Harris,@KamalaHarris,2024-09-24T01:06:00.000Z,True,"Donald Trump’s abortion bans have created a health care crisis. 

I trust women to make decisions about their own bodies.",10K,7.3K,34K,1.6M,[],[],[],tweet_id:1838384355397243107
Kamala Harris,@KamalaHarris,2024-09-23T21:46:00.000Z,True,"Donald Trump’s Project 2025 Agenda intends to end the Affordable Care Act, threatening health care for more than 5 million Latinos in our country. 

It is wrong. And we are not going back.",9.1K,4.9K,14K,1M,[],[],[],tweet_id:1838334025116643652
Kamala Harris,@KamalaHarris,2024-09-23T19:25:01.000Z,True,"Our young leaders have grown up only knowing the climate crisis. They know what is at stake for their future. 

As president, I will tackle the climate crisis with bold action to build a clean energy economy, advance environmental justice, and increase resilience to climate",4.7K,2.8K,9.4K,547K,[],[],[],tweet_id:1838298543636803947
Kamala Harris,@KamalaHarris,2024-09-23T11:34:16.000Z,True,"Donald Trump’s Project 2025 agenda could effectively ban IVF—preventing families, like Yesenia and her husband, from their chance to have a child.

Watch:",11K,5.2K,13K,3.4M,[],[],[],tweet_id:1838180074912207288
Kamala Harris,@KamalaHarris,2024-09-22T21:05:26.000Z,True,"I will make sure good-paying jobs are available to all Americans, not just those with college degrees.",15K,6.8K,26K,1.9M,[],[],[],tweet_id:1837961427581018578
Vice President Kamala Harris,@VP,2024-09-22T18:25:06.000Z,True,"In my role leading the first-ever White House Office of Gun Violence Prevention, I have traveled our nation to meet with survivors, advocates, students, teachers, and elected officials to discuss our work to prevent gun violence.

I am proud to stand alongside you in this fight.",2.9K,2.4K,8.9K,572K,[],[],[],tweet_id:1837921079706181765
Kamala Harris,@KamalaHarris,2024-09-22T18:09:01.000Z,True,"Our kids should be able to concentrate on learning, not worry about where they would hide from an active shooter in their classroom.

It does not have to be this way.

We must end the epidemic of gun violence in our country once and for all.",6.7K,6K,26K,1.1M,[],[],[],tweet_id:1837917030541902098
Kamala Harris,@KamalaHarris,2024-09-22T15:49:00.000Z,True,"As attorney general, I won settlements against Big Oil and held polluters accountable. 

As vice president, I helped pass the largest investment in climate action in history. 

And as president, I will continue the fight to protect our planet for generations to come.",5.4K,5.4K,18K,875K,[],[],[],tweet_id:1837881794269479345
Kamala Harris,@KamalaHarris,2024-09-22T14:34:41.000Z,True,"For too long, seniors have had to cut their pills in half because they cannot afford their full medication. 

That’s not fair.

Our parents and grandparents deserve respect and dignity.",6.9K,7.8K,27K,1M,[],[],[],tweet_id:1837863090471252057
Kamala Harris,@KamalaHarris,2024-09-22T00:20:00.000Z,True,"Donald Trump intends to end the Affordable Care Act.

He has no plans to replace it.

Only ""concepts of a plan.""",10K,10K,54K,1.7M,[],[],[],tweet_id:1837648003164717387
Kamala Harris,@KamalaHarris,2024-09-21T22:01:00.000Z,True,"If reelected, Donald Trump intends to: 

Give tax cuts to billionaires and big corporations 
Gut Social Security and Medicare 
Repeal the Affordable Care Act 

We are not going back.",14K,8.1K,29K,1.7M,[],[],[],tweet_id:1837613023550230806
Kamala Harris,@KamalaHarris,2024-07-30T23:59:46.000Z,True,"Donald, I do hope you'll reconsider meeting me on the debate stage.

Because, as the saying goes, if you’ve got something to say, say it to my face.",17K,53K,308K,15M,[],[],[],tweet_id:1818436356009570530
