Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Tweet ID
Kate *Non Compliant*,@KingdomRise7,2024-09-25T22:39:45.000Z,True,"The purple #Uniparty is here. = 
If you can see it...#DemocraticParty #Republican #Trump #Election",0,0,0,0,"['#Uniparty', '#DemocraticParty', '#Republican', '#Trump', '#Election']",[],"['\\U0001f7e5', '\\U0001f7e6', '\\U0001f7ea', '\\U0001f440', '\\U0001f914']",tweet_id:1839072326056386998
ℂ𝕙𝕣𝕚𝕤𝕥𝕠𝕡𝕙𝕖𝕣 𝕋𝕪𝕝𝕖𝕣,@Tyler_Chris007,2024-09-25T22:38:57.000Z,True,"President #Biden did not step aside in this #election of his own #free will.  So, talk about a threat to #DemocracyInAction.  As you can't have any larger threat than #DemocraticParty #Powerful players, forcing him to step down, in a #coup.#Trump2024  #Trump2024Vance",0,0,0,0,"['#Biden', '#election', '#free', '#DemocracyInAction', '#DemocraticParty', '#Powerful', '#coup', '#Trump2024', '#Trump2024Vance']",[],"['\\U0001f1fa\\U0001f1f8', '\\U0001f1fa\\U0001f1f8', '\\U0001f1fa\\U0001f1f8', '\\U0001f1fa\\U0001f1f8']",tweet_id:1839072122943189365
ROMP3R5T0MP3R,@Romper1Stomper,2024-09-25T22:32:15.000Z,False,Anyone else have a feeling Trump is getting arrested by the FBI shortly?#Trump #FBI #Kamala #Election #Felon,0,0,0,9,"['#Trump', '#FBI', '#Kamala', '#Election', '#Felon']",[],[],tweet_id:1839070437806059532
Cripeso Servicios de Consultoría,@Cripeso_mx,2024-09-25T22:31:34.000Z,False,ELECCIONES EUA #Republicanos vs #DemócratasAsí va el progreso de la contienda entre los principales candidatos #Donald Trump y #Kamala Harris según las casas encuestadoras más reconocidas del país. #election #KamalaHarris #PresidentialElection2024 #Aprobación,0,1,0,8,"['#Republicanos', '#Demócratas', '#Donald', '#Kamala', '#election', '#KamalaHarris', '#PresidentialElection2024', '#Aprobación']",[],"['\\U0001f1fa\\U0001f1f8', '\\U0001f94a', '\\U0001f4c8']",tweet_id:1839070266103677408
Dr Garry Dulgar,@GarryDulgar,2024-09-25T22:25:15.000Z,False,#Election #Fraud ,0,0,0,3,"['#Election', '#Fraud']",[],"['\\u26a0\\ufe0f', '\\u2620\\ufe0f']",tweet_id:1839068678106591286
“Levii’s Jeans”,@89Mightyone,2024-09-25T22:22:32.000Z,True,Oh she left ZERO crumbs!!!  #voteblue #KamalaCaresForUs #kamalaharris #election,0,0,0,5,"['#voteblue', '#KamalaCaresForUs', '#kamalaharris', '#election']",[],"['\\U0001f4af', '\\U0001f4af']",tweet_id:1839067995118653747
Tweeter4Truth,@tweeter4truth,2024-09-25T22:21:15.000Z,False,"As the 2024 #election approaches and #Covid continues to sicken, disable and kill Americans... 
HERE are some IMPORTANT QUESTIONS for our elected leaders (of both political parties), #PublicHealth officials, and serious journalists:",1,0,1,11,"['#election', '#Covid', '#PublicHealth']",[],['\\U0001f447'],tweet_id:1839067670563664087
𝖳𝖧𝖠𝖳 𝖢𝖴𝖱𝖨𝖮𝖴𝖲 𝖢𝖠𝖳,@ThatCurious_Cat,2024-09-25T22:20:34.000Z,False,"Podcast NOW AVAILABLE

'Is Anyone More Full of Sh*t Than Justin Trudeau'#JustinTrudeau #cdnpoli #canada #pierrepoilievre #jagmeetsingh #canadian #canadianpolitics #liberal #conservative #ndp #polotics #election #dictator #totalitarianism #communism",0,0,0,8,"['#JustinTrudeau', '#cdnpoli', '#canada', '#pierrepoilievre', '#jagmeetsingh', '#canadian', '#canadianpolitics', '#liberal', '#conservative', '#ndp', '#polotics', '#election', '#dictator', '#totalitarianism', '#communism']",[],[],tweet_id:1839067498307539164
Paul,@pauleaman,2024-09-25T22:16:04.000Z,False,"If you don’t know who you’re voting for by now, ‘on the fence’ or ‘need more information to make a decision, you were voting for  from the beginning. God bless and good luck, ur gonna need it. #election",0,0,0,4,['#election'],[],"['\\U0001f34a', '\\U0001f921']",tweet_id:1839066366143328564
Edward Perfetto,@ejprox88,2024-09-25T22:15:17.000Z,False,#stollen #election #trump https://americasbestpics.com/video/QgcOINjyA?s=t…#AmericasBestPicsAndVideos,0,0,0,0,"['#stollen', '#election', '#trump', '#AmericasBestPicsAndVideos']",[],[],tweet_id:1839066170856554987
Cripeso Servicios de Consultoría,@Cripeso_mx,2024-09-25T22:31:34.000Z,False,ELECCIONES EUA #Republicanos vs #DemócratasAsí va el progreso de la contienda entre los principales candidatos #Donald Trump y #Kamala Harris según las casas encuestadoras más reconocidas del país. #election #KamalaHarris #PresidentialElection2024 #Aprobación,0,1,0,8,"['#Republicanos', '#Demócratas', '#Donald', '#Kamala', '#election', '#KamalaHarris', '#PresidentialElection2024', '#Aprobación']",[],"['\\U0001f1fa\\U0001f1f8', '\\U0001f94a', '\\U0001f4c8']",tweet_id:1839070266103677408
Dr Garry Dulgar,@GarryDulgar,2024-09-25T22:25:15.000Z,False,#Election #Fraud ,0,0,0,3,"['#Election', '#Fraud']",[],"['\\u26a0\\ufe0f', '\\u2620\\ufe0f']",tweet_id:1839068678106591286
Kate *Non Compliant*,@KingdomRise7,2024-09-25T22:39:45.000Z,True,"The purple #Uniparty is here. = 
If you can see it...#DemocraticParty #Republican #Trump #Election",0,0,0,0,"['#Uniparty', '#DemocraticParty', '#Republican', '#Trump', '#Election']",[],"['\\U0001f7e5', '\\U0001f7e6', '\\U0001f7ea', '\\U0001f440', '\\U0001f914']",tweet_id:1839072326056386998
ℂ𝕙𝕣𝕚𝕤𝕥𝕠𝕡𝕙𝕖𝕣 𝕋𝕪𝕝𝕖𝕣,@Tyler_Chris007,2024-09-25T22:38:57.000Z,True,"President #Biden did not step aside in this #election of his own #free will.  So, talk about a threat to #DemocracyInAction.  As you can't have any larger threat than #DemocraticParty #Powerful players, forcing him to step down, in a #coup.#Trump2024  #Trump2024Vance",0,0,0,0,"['#Biden', '#election', '#free', '#DemocracyInAction', '#DemocraticParty', '#Powerful', '#coup', '#Trump2024', '#Trump2024Vance']",[],"['\\U0001f1fa\\U0001f1f8', '\\U0001f1fa\\U0001f1f8', '\\U0001f1fa\\U0001f1f8', '\\U0001f1fa\\U0001f1f8']",tweet_id:1839072122943189365
ROMP3R5T0MP3R,@Romper1Stomper,2024-09-25T22:32:15.000Z,False,Anyone else have a feeling Trump is getting arrested by the FBI shortly?#Trump #FBI #Kamala #Election #Felon,0,0,0,9,"['#Trump', '#FBI', '#Kamala', '#Election', '#Felon']",[],[],tweet_id:1839070437806059532
Paul,@pauleaman,2024-09-25T22:16:04.000Z,False,"If you don’t know who you’re voting for by now, ‘on the fence’ or ‘need more information to make a decision, you were voting for  from the beginning. God bless and good luck, ur gonna need it. #election",0,0,0,4,['#election'],[],"['\\U0001f34a', '\\U0001f921']",tweet_id:1839066366143328564
Edward Perfetto,@ejprox88,2024-09-25T22:15:17.000Z,False,#stollen #election #trump https://americasbestpics.com/video/QgcOINjyA?s=t…#AmericasBestPicsAndVideos,0,0,0,0,"['#stollen', '#election', '#trump', '#AmericasBestPicsAndVideos']",[],[],tweet_id:1839066170856554987
InnovationIsTech,@ManManaspreet,2024-09-25T22:04:57.000Z,False,"Can you name a politician who has actually stood up to its promises?

 #politics #leadership #publicservice #govern #democracy #representation #election #politicalclimate #citizens #YourVoiceMatters",0,0,0,1,"['#politics', '#leadership', '#publicservice', '#govern', '#democracy', '#representation', '#election', '#politicalclimate', '#citizens', '#YourVoiceMatters']",[],[],tweet_id:1839063566680256531
MEME PIXEL,@meme_pixel1,2024-09-25T22:03:43.000Z,True,"Hi X! #PayPal,#Tesla,#Starlink,#SpaceX – as they say, we can admire him, love him, hate him, or criticize him, but there's one thing we can't deny about   on. He is the one who #changes the world! We are eagerly waiting to see what's next! #election",1,3,2,73,"['#PayPal', '#Tesla', '#Starlink', '#SpaceX', '#changes', '#election']","['@elonmusk', '@realDonaldTrump']",[],tweet_id:1839063258948374555
Of The People with Robert Chernin and Ericka Redic,@OfThePeople_RBC,2024-09-25T22:03:00.000Z,False,"Missed the latest #OfThePeople livestream? You can watch the FULL episode on #YouTube! Don't miss the latest on #Hezbollah, #Israel, the #election, and government corruption!  ",0,0,0,82,"['#OfThePeople', '#YouTube', '#Hezbollah', '#Israel', '#election']","['@rbchernin', '@ErickaRedic']",[],tweet_id:1839063077574074446
Dave,@VivaHate1975,2024-09-25T22:02:34.000Z,True,#Kamala#Harris#EBT#BlackExcellence #Election#Vote #Democrat,0,0,0,5,"['#Kamala', '#Harris', '#EBT', '#BlackExcellence', '#Election', '#Vote', '#Democrat']",[],[],tweet_id:1839062968467599372
CPAWS BC,@CPAWSbc,2024-09-25T22:01:32.000Z,False,UPDATE: We now have four candidates confirmed for the Saanich North & the #Islands #Debate In-person tickets are sold out but you can join virtually at: https://ow.ly/ZLbz50TvMlT#CPAWSBC #BCElection #Election #VancouverIsland #BC,0,0,0,29,"['#Islands', '#Debate', '#CPAWSBC', '#BCElection', '#Election', '#VancouverIsland', '#BC']",[],['\\U0001f4e2'],tweet_id:1839062708169130372
Public News Service,@PNS_News,2024-09-25T22:00:01.000Z,False,"#Arizona has long struggled to retain #teachers, and one education advocate says unprecedented challenges have added more responsibilities to their plates. He encourages voters to get informed on education-related issues before the November #election.",0,0,0,85,"['#Arizona', '#teachers', '#election']",[],[],tweet_id:1839062328551113193
